0.001675,0.025460
0.001210,0.023687
0.000439,0.021923
0.000587,0.020132
0.000734,0.018179
0.001036,0.016708
0.000262,0.013969
-0.000355,0.012363
-0.000666,0.010747
-0.000978,0.009132
-0.000676,0.007499
-0.000375,0.005866
-0.000687,0.003764
-0.000541,0.001648
-0.000085,0.000498
-0.000398,-0.001767
0.000211,-0.002921
0.000973,-0.004405
0.001121,-0.006033
0.000351,-0.007473
0.000345,-0.009422
0.000188,-0.010879
-0.000277,-0.012652
-0.000435,-0.014110
-0.000748,-0.016537
-0.001214,-0.018635
-0.001831,-0.019917
-0.002141,-0.021370
-0.001992,-0.022511
-0.002454,-0.023635
-0.002764,-0.024763
0.004330,-0.008399
0.003711,-0.010493
0.003702,-0.013416
0.003849,-0.015532
0.004149,-0.017652
0.004297,-0.019280
0.004140,-0.020738
0.003370,-0.022015
0.001376,-0.023257
0.000605,-0.024859
-0.002924,0.024131
-0.003083,0.022186
-0.003396,0.019759
-0.003558,0.017002
-0.004331,0.014426
-0.004337,0.012314
-0.005108,0.010712
-0.007708,0.011924
-0.007696,0.015821
-0.006767,0.019368
-0.005381,0.021927
-0.005374,0.024038
-0.006331,0.011397
-0.007702,0.013873
-0.007385,0.017437
