-0.005683,0.024941
-0.006081,0.022984
-0.006244,0.021029
-0.005738,0.020060
-0.005449,0.018600
-0.005368,0.016405
-0.005296,0.014454
-0.005703,0.012740
-0.005866,0.010786
-0.006490,0.008581
-0.006210,0.007364
-0.006120,0.004926
-0.006039,0.002731
-0.005272,0.001033
-0.004748,-0.000423
-0.004920,-0.002134
-0.004161,-0.003587
-0.003872,-0.005047
-0.004297,-0.006273
-0.003756,-0.008218
-0.003657,-0.010900
-0.004064,-0.012614
-0.003766,-0.014318
-0.004182,-0.015788
-0.004371,-0.017011
-0.005004,-0.018972
-0.005420,-0.020442
-0.005809,-0.022644
-0.005511,-0.024348
-0.009530,-0.017329
-0.009702,-0.019040
-0.009404,-0.020744
-0.009504,-0.024405
-0.009350,-0.022207
