x_m,y_m
0.0013653418080447016,-0.02527765538824149
0.0013543514448067517,-0.025082485875346828
0.0013419704282304227,-0.02488739329037841
0.001328032113565557,-0.02469238685176235
0.001315692074768976,-0.024497291999992045
0.0013060518135987959,-0.024302047802379458
0.0013009357195238038,-0.02410655333765643
0.0012939918781608968,-0.023911159979948842
0.001289077072722055,-0.023715654380375067
0.0012959893676556997,-0.023519494531262553
0.001321769297763776,-0.02332229096549749
0.001362151601613472,-0.023124279628090688
0.0014143221173878104,-0.022925616192369724
0.001474241790745253,-0.022726524090059767
0.0015350471882171763,-0.022527382991412992
0.0015907227633800572,-0.022328525663409385
0.0016388065491566755,-0.022130088296727475
0.0016819627587190272,-0.021931923512873455
0.0017183184343757564,-0.021734134919804228
0.0017466929801312047,-0.021536787825529473
0.0017580221788855068,-0.021340383642878193
0.0017483045125091523,-0.021145143727153717
0.0017218713450862805,-0.020950828476689963
0.0016798913412175752,-0.02075737324349615
0.001627551597392936,-0.020564491088645644
0.0015719918477427282,-0.02037178705753298
0.0015182222299286274,-0.02017898400021007
0.001469661051763009,-0.0199858928233033
0.0014242382012988593,-0.019792628040915354
0.001384161878033298,-0.019599067500239792
0.0013471494184609189,-0.019405337473270484
0.0013136570105554775,-0.019211412724678203
0.001279960432795377,-0.019017499270319427
0.0012437453821563936,-0.01882372513241756
0.001212673569056893,-0.018629666481771067
0.0011887565750921696,-0.018435212042049384
0.0011719944002622222,-0.018240361813252493
0.0011713742213716573,-0.01804461864425344
0.0011858007209660881,-0.017848043125637956
0.00120856442800498,-0.01765100641079067
0.0012273787264107296,-0.017454188168662413
0.0012379067503143822,-0.01725782830526606
0.0012442514294770657,-0.017061699855426795
0.0012501800167808396,-0.016865594422886623
0.0012527855683886265,-0.016669672813473247
0.0012437676298379702,-0.01647439419032322
0.0012191967857892458,-0.01627997592016992
0.001184916477815313,-0.016086094756500427
0.0011328714119494907,-0.015893196300704418
0.0010604594866056864,-0.015701424495397492
0.0009749562393664776,-0.01551037687362177
0.0008902032892449641,-0.015319287747036945
0.0008116748859365493,-0.015127854292023927
0.0007325211255460538,-0.014936455430408243
0.0006555169343128301,-0.014744937659289355
0.0005859271123584347,-0.014553009741344282
0.0005220919342081994,-0.014360763488986216
0.00046641633211009023,-0.014168065866579675
0.00041305686449124863,-0.013975240120637611
0.00036015304455650615,-0.013782389169253994
0.0003120676503841411,-0.013589271673008727
0.0002673470322757067,-0.013395968044650057
0.00022013196572974035,-0.013202802403768305
0.00017355088414325824,-0.013009601692213754
0.00013035076165031248,-0.012816213953335702
8.645289742841044e-05,-0.01262286481201664
4.395338634090166e-05,-0.01242943831683532
4.767201386516543e-06,-0.012235828535639166
-3.448781013361366e-05,-0.012042222561779338
-7.249999321043681e-05,-0.011848547837345813
