step,x,y,psi,KI,KII,G,Gc,score,kIIratio,abs_dth,cap_deg,kink_n,ds,mode
0,-0.00013309036491639022,0.0007897958700019404,1.906214802643528,,,1.7184513726188073e-06,0.9999999999999998,-0.9999982815486271,0.6514716397073965,0.3354184758486314,54.78131563273463,105,0.00040432800000014406,PHYS
1,-0.0003496181764111835,0.0011270637603897021,2.1415309055548537,,,9.244691428184325e-06,0.999999999999999,-0.9999907553085708,3.346704092407618,0.23531610291132576,54.78131563273463,105,0.0004007916204679633,PHYS
2,-0.0004062364750448754,0.0015203892142312426,1.7137619743089996,,,6.91434232023987e-05,0.9999999999999999,-0.9999308565767975,20.073233142869896,0.42776893124585413,54.78131563273463,105,0.0003973795973371401,PHYS
3,-0.00042041331759445064,0.0019139704431878188,1.6068008794321615,,,0.007308383920266377,0.9999999999999996,-0.9926916160797332,0.13183432170802592,0.10696109487683803,54.78131563273463,105,0.0003938364719672929,PHYS
4,-0.00041955545834841126,0.002304333105042277,1.5685987347890968,,,0.012159779575818798,0.9999999999999993,-0.9878402204241805,0.6194799098859851,0.038202144643064706,48.1616136772813,97,0.00039036360446714806,PHYS
5,-0.0003897113237788196,0.002690100462808855,1.493587077682573,,,0.0065251854731037,0.9999999999999982,-0.9934748145268946,0.9460220191148762,0.0750116571065238,48.1616136772813,97,0.0003869200520603899,PHYS
6,-0.0003903385980573179,0.0030736363084935057,1.572431828994402,,,0.0019936602008465178,1.0,-0.9980063397991534,2.889115443986652,0.07884475131182889,48.1616136772813,97,0.00038353635863899624,PHYS
7,-0.0004999434669386471,0.003437606441590678,1.8632959010138181,,,0.0014007538786951872,1.0,-0.9985992461213048,4.744858227176607,0.2908640720194162,48.1616136772813,97,0.0003801150945033183,PHYS
8,-0.0006430738906290951,0.0037860942388426655,1.960508598260474,,,0.0013468427699679629,1.0,-0.998653157230032,8.15697474849919,0.09721269724665582,57.151194610455825,109,0.0003767360654614176,PHYS
9,-0.0007131699478595296,0.0041528936785007985,1.7596215322757818,,,0.010824283357094542,1.0,-0.9891757166429055,0.7792574172886269,0.2008870659846922,57.151194610455825,109,0.00037343712479180835,PHYS
10,-0.0007334901572975101,0.004522412224794097,1.6257320366694534,,,0.009316826730676872,0.9999999999999998,-0.9906831732693229,0.7323955718135057,0.13388949560632835,57.151194610455825,109,0.00037007683927302987,PHYS
11,-0.0008093082653978005,0.00488125651398895,1.77901810700744,,,0.0011362379242833727,0.9999999999999999,-0.9988637620757165,0.9843106668761722,0.15328607033798658,57.151194610455825,109,0.000366766423495481,PHYS
12,-0.0009804832628539071,0.0052018946392765174,2.0611614813182575,,,0.0008174029925225251,0.9999999999999999,-0.9991825970074774,2.3725690219840168,0.2821433743108175,63.62937596574079,117,0.0003634689631069259,PHYS
13,-0.0011467569506922605,0.005521599757391918,2.050382158878903,,,0.0006803404803342816,0.9999999999999997,-0.9993196595196654,5.76050317778275,0.010779322439354644,63.62937596574079,117,0.0003603585739462127,PHYS
14,-0.0011905277030465997,0.00587615332978899,1.6936279718566363,,,0.0018396222341582466,0.9999999999999998,-0.9981603777658415,2.0054959975045223,0.3567541870222666,63.62937596574079,117,0.00035724517416081436,PHYS
15,-0.0011985513883144548,0.0062301025111578,1.5934614767558841,,,0.0025024633629794715,0.9999999999999992,-0.9974975366370198,2.048128967018727,0.10016649510075215,63.62937596574079,117,0.0003540401142765158,PHYS
16,-0.00105631918079691,0.00655088505838997,1.1534517267684092,,,2.095880977290174,0.9999999999342886,1.0958809773558853,2.025937365026552,0.44000974998747505,50.421403237777696,101,0.0003509009026264734,ENERGY
17,-0.0011570998726600239,0.00688426552807492,1.8643612590076284,,,0.002225671538159461,0.9999999999999999,-0.9977743284618404,1.0269645964417753,0.7109095322392198,60.93328644977706,113,0.0003482804694779276,PHYS
18,-0.0012489848662832804,0.00721698345878829,1.840245156005965,,,0.0012059771704117227,1.0,-0.9987940228295883,2.5191421723582352,0.024116103001663447,60.93328644977706,113,0.00034517252710975237,PHYS
19,-0.001261203948712039,0.007558846799890565,1.6065237111564503,,,0.004595383753858379,0.9999999999999997,-0.9954046162461413,1.277527173184478,0.23372144484951463,60.93328644977706,113,0.00034208164225081074,PHYS
20,-0.0012665966063397825,0.007897833837023003,1.5867031379726964,,,0.0038912117982088405,0.9999999999999996,-0.9961087882017907,1.7409006122491388,0.019820573183753964,60.93328644977706,113,0.00033902992803013475,PHYS
21,-0.0012854648994837124,0.008233314880803002,1.6269796382505888,,,0.01689190229769503,0.9999999999999998,-0.9831080977023048,0.6136178435234989,0.040276500277892424,47.09618033902047,95,0.0003360112248450683,PHYS
22,-0.0013252709706349903,0.008563929631350813,1.6906197204336975,,,0.05987801199911089,0.9999999999999999,-0.940121988000889,0.4455166935318218,0.06364008218310868,47.09618033902047,95,0.0003330024573186984,PHYS
23,-0.0013807074691537693,0.008889247246193919,1.7395823233051102,,,0.0010531226200727912,1.0,-0.9989468773799272,1.1425318731501157,0.04896260287141274,47.09618033902047,95,0.00033000720582319063,PHYS
24,-0.0014171672261150778,0.009214246008344817,1.6825135188587028,,,0.002845596437309757,1.0,-0.9971544035626903,0.7429424771964475,0.057068804446407384,47.09618033902047,95,0.0003270374738119376,PHYS
25,-0.0014328969758184314,0.009537960754530707,1.6193495281493,,,0.011929013715017225,1.0,-0.9880709862849828,0.7075609226299557,0.06316399070940282,57.895397899644905,109,0.0003240966860736551,PHYS
26,-0.001438731389863043,0.009859102823359753,1.5889620323348437,,,0.00921574063925347,0.9999999999999998,-0.9907842593607463,0.9908318508282349,0.030387495814456322,57.895397899644905,109,0.00032119506341014067,PHYS
27,-0.0014420070779152423,0.010177414232264238,1.581086791839109,,,0.008852507730937577,0.9999999999999996,-0.991147492269062,1.1057127794340076,0.007875240495734737,57.895397899644905,109,0.0003183282632299134,PHYS
28,-0.0014421317629234472,0.010492902636816282,1.5711915394236788,,,0.007985642531857271,0.9999999999999994,-0.9920143574681421,1.1965105484112095,0.0098952524154301,57.895397899644905,109,0.0003154884291905883,PHYS
29,-0.0014977949890311025,0.010800584234842822,1.7497722915470941,,,0.007356767483303855,0.9999999999999999,-0.9926432325166961,0.983284240719721,0.1785807521234153,51.17702967841664,101,0.00031267612717455367,PHYS
30,-0.0016162271351307237,0.011086922904610039,1.9629789595271694,,,0.0027456659812048322,0.9999999999999999,-0.997254334018795,1.7404320743113528,0.21320666798007526,51.17702967841664,101,0.0003098644978596628,PHYS
31,-0.0017673767548015847,0.011354323194246809,2.085276904513414,,,0.0006054638201768884,0.9999999999999998,-0.9993945361798229,2.0836906308039613,0.12229794498624447,51.17702967841664,101,0.0003071630225539444,PHYS
32,-0.0018576727264507007,0.011645211382465475,1.8717803000187052,,,0.011512655263887582,0.9999999999999999,-0.9884873447361123,0.0045216332356965835,0.21349660449470953,51.17702967841664,101,0.00030458053211128823,PHYS
33,-0.001819242365743143,0.011944623075983913,1.443141383983475,,,1.445314441709691,0.9999999999999835,0.4453144417097076,1.5604979310212705,0.4286389160352292,47.07180157910544,95,0.00030186794271616944,ENERGY
34,-0.0018259666223600507,0.012243806190987411,1.5932679315933878,,,1.2896315734552524,0.9999999999999993,0.28963157345525303,1.230905320649521,0.15012654760991295,39.18514671195898,85,0.0002992586706016153,ENERGY
35,-0.0018220585887180924,0.012540367514636575,1.557619263107794,,,1.6209346806875338,0.9999999999999983,0.6209346806875354,1.1932195802090109,0.03564866848559334,49.02043798765258,99,0.00029658707222583215,ENERGY
