order,x_m,y_m
0,-0.0017494217948801434,-0.02534235124206959
1,-0.0017358627697876907,-0.025134206601478477
2,-0.0017123430461521711,-0.024977089563940274
3,-0.0016737651559442833,-0.02483405627267912
4,-0.0016132172050830396,-0.024636137285840232
5,-0.0015380391444796639,-0.024468318126321522
6,-0.001450757178392353,-0.02428234300418569
7,-0.0013692859567162813,-0.024090606715154256
8,-0.0012748937092741377,-0.0239638866429566
9,-0.0011736513355380012,-0.02376198459419871
10,-0.0010823759540262638,-0.023548875346092294
11,-0.0010090030707990885,-0.023407699890917014
12,-0.000935594436923628,-0.023187247035410946
13,-0.0008620671571288816,-0.02293814135361292
14,-0.0007948743786989769,-0.022778307454707467
15,-0.0007275248625438888,-0.022618261422782556
16,-0.0006591598865661046,-0.02243154436817579
17,-0.0005950242672991521,-0.022242941708061535
18,-0.0005391492613462996,-0.022060226993675398
19,-0.0004957627474336808,-0.02187373788131951
20,-0.000459565603497907,-0.02167420343304203
21,-0.0004351771207569894,-0.02147886946111556
22,-0.00042314959967476877,-0.021292527359804206
23,-0.0004080293550043275,-0.021081951366482884
24,-0.000396637532624263,-0.020866894898583718
25,-0.0003923544136165665,-0.02065179270658565
26,-0.0003953292125359229,-0.020437305832657213
27,-0.0003931071962569399,-0.020224534856960234
28,-0.0003896829479013257,-0.02000813093041376
29,-0.00038647730631316643,-0.019779778581575258
30,-0.00038030919491138825,-0.01956401503354005
31,-0.0003815028281345421,-0.019449104346578643
32,-0.00037874485978429343,-0.01933432540466098
33,-0.0003678464433390221,-0.019126478761705635
34,-0.000345150819625561,-0.018904895487404226
35,-0.00031419723244781707,-0.0186839854174468
36,-0.0002921663011401932,-0.018457049784452353
37,-0.00026498945244173895,-0.018227651224542254
38,-0.00023980961691285983,-0.018105487853556163
39,-0.00021305336230508824,-0.017983377039842523
40,-0.0001915804025886098,-0.017747188115225486
41,-0.0001799493237628563,-0.017499972891545125
42,-0.0001834542505659059,-0.01726615728394773
43,-0.00019326542738379331,-0.017011440856966712
44,-0.00020176939578439205,-0.01688249383447334
45,-0.00020417522063225825,-0.016753750121998496
46,-0.0001976190505501368,-0.01649439674013166
47,-0.0001982324184505552,-0.016236849832552427
48,-0.00020361468555304648,-0.01599208826756432
49,-0.0002136051703965686,-0.015858764419567593
50,-0.00023072261669207674,-0.015725202961115764
51,-0.00024197971068024428,-0.015469695867594772
52,-0.00025117419489694744,-0.015206153802766286
53,-0.0002589705409086848,-0.01507020268360115
54,-0.000263077868592401,-0.014934374555044245
55,-0.0002600023685408522,-0.014680398868855542
56,-0.0002606183860375201,-0.014425036817921084
57,-0.0002731924462824297,-0.014285946537741075
58,-0.0002878778939805537,-0.014146785864626152
59,-0.00029862303746334257,-0.013870952223470045
60,-0.0003007811315656127,-0.013585025028366105
61,-0.00030364606150532994,-0.013452902750527481
62,-0.0002951773169144626,-0.013321158333517965
63,-0.0002626042340718303,-0.0130549935659171
64,-0.00023567812264904987,-0.012921091374019233
65,-0.0002108902989484882,-0.012787117892340686
66,-0.0001867317021047574,-0.012506184529614123
67,-0.00016533381242092005,-0.012363187638149266
68,-0.0001417602749904204,-0.012220263282035515
69,-0.00011201969042548471,-0.011957692194022877
70,-6.822927938404745e-05,-0.01165597657727995
71,-3.733777089135346e-05,-0.011504123829925564
72,-1.4340014019460284e-05,-0.011352007907594332
73,1.2423293442069952e-05,-0.011045061046612917
74,3.6793920227690745e-05,-0.01089292925747203
75,6.39302736404261e-05,-0.010740889676710127
76,8.99863749506755e-05,-0.010431703514524677
77,0.00011510157309974623,-0.010280615011244167
78,0.0001494064427857505,-0.01012983288846689
79,0.00018861604839269237,-0.009819358144095259
80,0.00021949598509733628,-0.009678097027739684
81,0.00024949708543590466,-0.009536806611280509
82,0.0002764252518958602,-0.009387613243660215
83,0.0002938047644336735,-0.009238101527186853
84,0.00032603062610993955,-0.008931949385370523
85,0.00036313030984783183,-0.008768275878540156
86,0.0003932150175389771,-0.008604368494809764
87,0.00042194783111604593,-0.008274253545148701
88,0.0004378186540682104,-0.008123168422856666
89,0.0004435156956575567,-0.007971744110176687
90,0.00043896863757517845,-0.007822089756206267
91,0.00042101406896286763,-0.007671988400424442
92,0.00041382877140970866,-0.007330280625458738
93,0.00040537656294225134,-0.007157983394623539
94,0.0004013294191346064,-0.006985833027136158
95,0.00040371715781175547,-0.006826630629792688
96,0.0004130165507945624,-0.0066676586646377675
97,0.00042371259562860874,-0.006322024727415127
98,0.0004155904989420991,-0.006150608050744569
99,0.0004049878471674011,-0.005979108673216518
100,0.00039166677769030537,-0.00580070565572239
101,0.00037485027963065417,-0.0056221861018358734
102,0.00035891210178972885,-0.005442167010712686
103,0.00034659593161768414,-0.005262268676085296
104,0.0003429425580232553,-0.00490942241154255
105,0.0003156894254544829,-0.004732564291749294
106,0.00027778162961220087,-0.004555350949129807
107,0.0002314486824222774,-0.004378431891810702
108,0.0001857685917890557,-0.00420153460050571
109,0.00014102326074078817,-0.0040146206851878015
110,9.073855201042107e-05,-0.0038275220889142135
111,4.7846203902369885e-05,-0.0034978097844439596
112,-4.297369741380731e-06,-0.0033305331885349165
113,-6.027235925813338e-05,-0.0031631288545322365
114,-0.00011247257001345383,-0.0029714354323016182
115,-0.0001617110839173301,-0.0027798407520301816
116,-0.00021317467990653518,-0.002592884765492122
117,-0.00026670640672471957,-0.002405859828180184
118,-0.0003012725670522348,-0.0022390445200930805
119,-0.0003232792072788942,-0.0020726479421067628
120,-0.0003305847436233176,-0.0018772113845431906
121,-0.00033323145969967993,-0.0016819301504525433
122,-0.00033141565524693874,-0.0014905693536790834
123,-0.0003188722047060017,-0.0012995662129539158
124,-0.0003030416058673439,-0.0011133110017424034
125,-0.00027273044250390114,-0.0009275385675951525
126,-0.00022808573720095154,-0.000746658751389678
127,-0.00017526341567051585,-0.0005660515741098666
128,-0.00011251245361149912,-0.0003331962715079389
129,-4.0506802002120525e-05,-0.00010064951708755179
130,4.3119778426513425e-05,0.00020256240134803753
131,0.00011342699536003675,0.0003841657809991105
132,0.00017447952274319816,0.0005660777088317209
133,0.00022730184427363382,0.0007466848861115323
134,0.0002719465495765834,0.0009275647023170068
135,0.0003023883617612458,0.001113332780677282
136,0.0003184802582423428,0.0012995792803148429
137,0.0003312850064257191,0.001490573709466059
138,0.00033323145969967993,0.0016819301504525433
139,0.00033058474362331763,0.0018772113845431906
140,0.00032327920727889413,0.0020726479421067628
141,0.00030127256705223476,0.0022390445200930805
142,0.00026670640672471957,0.002405859828180184
143,0.00021317467990653515,0.002592884765492122
144,0.00016171108391733007,0.0027798407520301816
145,0.0001124725700134538,0.0029714354323016182
146,6.0272359258133355e-05,0.0031631288545322365
147,4.2973697413807176e-06,0.0033305331885349165
148,-4.7846203902369994e-05,0.0034978097844439596
149,-9.073855201042118e-05,0.0038275220889142135
150,-0.00014102326074078825,0.004014620685187804
151,-0.00018576859178905575,0.00420153460050571
152,-0.00023144868242227744,0.004378431891810702
153,-0.0002777816296122009,0.004555350949129807
154,-0.000315689425454483,0.0047325642917492965
155,-0.0003429425580232553,0.00490942241154255
156,-0.00034659593161768414,0.005262268676085296
157,-0.00035891210178972896,0.005442167010712688
158,-0.00037485027963065417,0.0056221861018358734
159,-0.00039166677769030537,0.005800705655722391
160,-0.0004049878471674011,0.005979108673216518
161,-0.00041559049894209887,0.00615060805074457
162,-0.0004237125956286085,0.006322024727415127
163,-0.0004130165507945623,0.0066676586646377675
164,-0.0004037171578117555,0.006826630629792687
165,-0.0004013294191346064,0.006985833027136158
166,-0.0004053765629422511,0.007157983394623541
167,-0.00041382877140970855,0.007330280625458738
168,-0.00042101406896286774,0.007671988400424442
169,-0.00043896863757517866,0.007822089756206267
170,-0.0004435156956575569,0.007971744110176687
171,-0.00043781865406821065,0.008123168422856668
172,-0.00042194783111604615,0.008274253545148701
173,-0.0003932150175389772,0.008604368494809764
174,-0.00036313030984783194,0.008768275878540158
175,-0.00032603062610993955,0.008931949385370523
176,-0.0002938047644336736,0.009238101527186853
177,-0.00027642525189586035,0.009387613243660215
178,-0.00024949708543590466,0.009536806611280509
179,-0.0002194959850973361,0.009678097027739686
180,-0.00018861604839269226,0.009819358144095259
181,-0.00014940644278575038,0.01012983288846689
182,-0.00011510157309974607,0.010280615011244169
183,-8.99863749506754e-05,0.010431703514524677
184,-6.393027364042598e-05,0.010740889676710127
185,-3.679392022769076e-05,0.010892929257472029
186,-1.2423293442070006e-05,0.011045061046612917
187,1.434001401946023e-05,0.011352007907594332
188,3.7337770891353456e-05,0.011504123829925566
189,6.822927938404728e-05,0.01165597657727995
190,0.0001120196904254845,0.011957692194022877
191,0.00014176027499042024,0.012220263282035515
192,0.00016533381242091983,0.012363187638149266
193,0.00018673170210475718,0.012506184529614123
194,0.00021089029894848802,0.012787117892340686
195,0.0002356781226490496,0.01292109137401923
196,0.00026260423407183016,0.0130549935659171
197,0.00029517731691446243,0.013321158333517965
198,0.0003036460615053299,0.013452902750527483
199,0.0003007811315656126,0.013585025028366105
200,0.00029862303746334246,0.013870952223470045
201,0.0002878778939805536,0.014146785864626152
202,0.00027319244628242975,0.014285946537741076
203,0.0002606183860375201,0.014425036817921084
204,0.0002600023685408522,0.014680398868855542
205,0.00026307786859240093,0.014934374555044245
206,0.00025897054090868484,0.015070202683601151
207,0.00025117419489694744,0.015206153802766286
208,0.00024197971068024428,0.015469695867594772
209,0.00023072261669207668,0.015725202961115764
210,0.00021360517039656856,0.015858764419567593
211,0.00020361468555304643,0.01599208826756432
212,0.00019823241845055525,0.016236849832552427
213,0.0001976190505501368,0.01649439674013166
214,0.00020417522063225825,0.016753750121998496
215,0.0002017693957843921,0.01688249383447334
216,0.00019326542738379331,0.017011440856966712
217,0.00018345425056590586,0.01726615728394773
218,0.0001799493237628563,0.017499972891545125
219,0.0001915804025886098,0.017747188115225486
220,0.00021305336230508824,0.017983377039842523
221,0.00023980961691285986,0.018105487853556163
222,0.000264989452441739,0.018227651224542254
223,0.0002921663011401932,0.018457049784452353
224,0.0003141972324478171,0.0186839854174468
225,0.00034515081962556107,0.018904895487404226
226,0.00036784644333902214,0.019126478761705635
227,0.00037874485978429354,0.01933432540466098
228,0.0003815028281345421,0.019449104346578643
229,0.00038030919491138825,0.01956401503354005
230,0.0003864773063131665,0.019779778581575258
231,0.0003896829479013258,0.02000813093041376
232,0.0003931071962569399,0.020224534856960234
233,0.0003953292125359229,0.020437305832657213
234,0.00039235441361656643,0.02065179270658565
235,0.000396637532624263,0.020866894898583718
236,0.0004080293550043275,0.021081951366482884
237,0.0004231495996747687,0.021292527359804206
