step,x,y,psi,KI,KII,G,Gc,score,kIIratio,abs_dth,cap_deg,kink_n,ds,mode
0,-0.00016635916099232224,0.0007765183321600802,1.9948363942230891,,,4.706584906349998e-06,0.9999999999999993,-0.999995293415093,0.31312933832665896,0.42404006742819256,61.27035669026361,115,0.00040432800000014406,PHYS
1,-0.00029296054614717717,0.001156853735007891,1.89212778670616,,,0.0001235973134915722,0.9999999999999987,-0.9998764026865071,0.8098878732381387,0.102708607516929,61.27035669026361,115,0.0004008527527441147,PHYS
2,-0.0003915565471868681,0.001541683646188256,1.821608003756487,,,0.0016537843800499277,0.9999999999999974,-0.9983462156199475,1.0019438812175756,0.0705197829496731,61.27035669026361,115,0.00039725965307353634,PHYS
3,-0.0004363727149280268,0.0019328087669989197,1.684881469129829,,,0.009171806090545517,0.9999999999999772,-0.9908281939094318,0.4664227623555293,0.13672653462665796,61.27035669026361,115,0.00039368432661227444,PHYS
4,-0.0004484471197621395,0.0023227887795289662,1.6017480381803555,,,0.037540892102261254,0.9999999999999036,-0.9624591078976423,0.5475246251070134,0.08313343094947356,60.77048519933378,113,0.0003901668891961918,PHYS
5,-0.0004576144842001976,0.002709388962665811,1.5945046620733443,,,0.03449442596469951,0.999999999999944,-0.9655055740352445,0.7261516423967008,0.007243376107011201,60.77048519933378,113,0.00038670885970220795,PHYS
6,-0.00046443436393147925,0.0030925984178240425,1.5885911900732275,,,0.021990158273465787,0.99999999999998,-0.9780098417265142,0.9333054311867108,0.005913472000116826,60.77048519933378,113,0.00038327013617319317,PHYS
7,-0.00046917806787953554,0.003472423299423115,1.5832848644349724,,,0.021735810813289926,0.9999999999999888,-0.9782641891866989,1.0443073869091875,0.0053063256382550605,60.77048519933378,113,0.0003798545029467154,PHYS
8,-0.00047243221288421493,0.003848873445889836,1.5794404035334626,,,0.024504683603159935,0.9999999999999981,-0.9754953163968382,0.6642486231279395,0.0038444609015098052,60.92488584022477,113,0.0003764642110938666,PHYS
9,-0.0004745377881315444,0.004221967668680892,1.5764398151289418,,,0.029222723231935532,0.9999999999999989,-0.9707772767680634,0.44969991694916117,0.0030005884045207765,60.92488584022477,113,0.00037310016420149747,PHYS
10,-0.0004758289441554168,0.004591728443226445,1.574288181164107,,,0.027896729026241136,0.9999999999999999,-0.9721032709737587,0.42406783708236073,0.002151633964834865,60.92488584022477,113,0.0003697630288122451,PHYS
11,-0.0004370538458442101,0.004956124382067717,1.4647859922561297,,,0.017525137476595964,0.9999999999999988,-0.9824748625234028,0.6244705845358957,0.10950218890797725,60.92488584022477,113,0.00036645314638171126,PHYS
12,-0.00020339804120863582,0.005234216141148446,0.872012700148215,,,1.1076217530789862,0.9999999824168192,0.10762177066216705,0.17483675333090515,0.5927732921079147,61.13413412254624,113,0.00036322178005801373,ENERGY
13,-0.00012424900522106538,0.005586285515136423,1.3496618712960906,,,0.009724342431356583,0.9999999999999982,-0.9902756575686417,0.020777219677413458,0.4776491711478763,61.101410411943,113,0.0003608565005622703,PHYS
14,-5.474251925744981e-05,0.005937178668548659,1.3752432948592794,,,0.2386214955932903,0.9999999999999994,-0.7613785044067092,0.6228457260442684,0.02558142356318882,61.101410411943,113,0.00035771099606049766,PHYS
15,1.8248651590236132e-05,0.006284147392693743,1.3634515521845332,,,0.13597090481755855,0.9999999999999998,-0.8640290951824412,0.42357339797842297,0.011791742674746253,61.101410411943,113,0.0003545631206944452,PHYS
16,9.896010769400755e-05,0.006626196286820883,1.339070374178247,,,0.1291864972847055,0.9999999999999912,-0.8708135027152857,0.3414635901893546,0.02438117800628614,61.101410411943,113,0.00035144243500179434,PHYS
