order,x_m,y_m
0,-0.0036923291313894417,-0.024999453780419477
1,-0.0036599399713109133,-0.02477799423739449
2,-0.003595246461842212,-0.02474200896162283
3,-0.003525896744423596,-0.024706263195778018
4,-0.003452267006291535,-0.024682964299796124
5,-0.00337216353603095,-0.024670850166139062
6,-0.0032806762552033816,-0.024671060650632137
7,-0.0032128920365168327,-0.024670051877149487
8,-0.003131086745595667,-0.024656563707271192
9,-0.003055088115583622,-0.024642776849502546
10,-0.0029848961464806973,-0.02462869130384355
11,-0.002881907413149619,-0.0246052840292945
12,-0.0027824783440842,-0.024579013302118348
13,-0.0027254055314841355,-0.024581376530279687
14,-0.0027078259587428356,-0.02455671505754013
15,-0.002689582737379123,-0.02455721159276026
16,-0.002669386935134194,-0.024557808566472196
17,-0.0026472385520080496,-0.024558505978675944
18,-0.00259456326788806,-0.024552999801106024
19,-0.0025113923298929718,-0.024549062284538247
20,-0.0023774284734924436,-0.024547737496676485
21,-0.0022439867226030537,-0.024538044362621858
22,-0.0021083712150378065,-0.024528463044084934
23,-0.00197528643111735,-0.024518751548064186
24,-0.0018427370283763682,-0.024467764143667234
25,-0.0016699062732565462,-0.024412321913237174
26,-0.001461258762038033,-0.024337531577936233
27,-0.0012155838436968918,-0.024239736707220957
28,-0.0009675249890022486,-0.024105997908336
29,-0.0007468053541752495,-0.02399671956436707
30,-0.0005600945429070221,-0.023874352112943822
31,-0.0003992371826432136,-0.023731299847436892
32,-0.0002707840515114473,-0.023611198087871293
33,-0.00015976813520939426,-0.023515201496857242
34,-6.318886153109358e-05,-0.02345256167303064
35,1.6877940052738934e-05,-0.023285605980971846
36,7.380886215410036e-05,-0.023084075391756102
37,0.00010959808009102195,-0.022870908301558673
38,0.00011868359345166901,-0.022636843045196007
39,0.00010270949317127181,-0.022379142660696825
40,5.762392929164861e-05,-0.02220386596550846
41,5.503291563010515e-07,-0.02190707454273817
42,-5.819120285269215e-05,-0.021634225375103865
43,-0.00011770686072768371,-0.0214498548995721
44,-0.0001669870135220485,-0.02125972718055002
45,-0.0002018197461836547,-0.02097001917962252
46,-0.00023158034171192547,-0.02066313603685295
47,-0.00026382574991469336,-0.02044888748937941
48,-0.0002927243987069062,-0.020227508586421312
49,-0.00032012282026775145,-0.020024665996018102
50,-0.00034681899155409733,-0.019795058668896245
51,-0.0003654232717475315,-0.019563072856157878
52,-0.00036692974406929505,-0.01922844070525258
53,-0.00036761431260274354,-0.018893512283184664
54,-0.0003827728446365088,-0.01865248233845169
55,-0.0004033826395807503,-0.01843652847784832
56,-0.0004186622700923347,-0.018219107713306402
57,-0.00042921174975821486,-0.01797210206728377
58,-0.00044520504161702564,-0.01772260829041047
59,-0.0004665454247445175,-0.017493898638655376
60,-0.0004904839882101369,-0.01724659895462615
61,-0.0005117844329976654,-0.017011755647492032
62,-0.0005265308768046728,-0.016756192749457957
63,-0.0005271855539085955,-0.016496881937327453
64,-0.0005205366239509755,-0.016251938098222462
65,-0.0005087170133001692,-0.015992698237732153
66,-0.0004931528683573292,-0.015736847245092885
67,-0.00048159007580360683,-0.015471142134905117
68,-0.0004659582652747452,-0.015203523036104572
69,-0.0004515408959290291,-0.014938947224182897
70,-0.000440308795173853,-0.014685937044921915
71,-0.00041534729132559054,-0.014416125024776955
72,-0.00040338264699598075,-0.014141048876604613
73,-0.00040623680969040774,-0.013883118425432762
74,-0.0004192175547524342,-0.013748868306401194
75,-0.0004338513886669539,-0.013614533154399797
76,-0.00044505758636674005,-0.013326082531741626
77,-0.0004664859123126738,-0.013043943869077361
78,-0.0004950860769784635,-0.012776596313460422
79,-0.0005286832891748503,-0.012499816617928258
80,-0.0005577442500278874,-0.012200029840986592
81,-0.0005906105916760346,-0.01190367982235152
82,-0.0006179836000427452,-0.011598547957040427
83,-0.0006508822060739386,-0.011444795427108384
84,-0.0006885990267392372,-0.011290795053813895
85,-0.0007158891461638524,-0.011006971715458858
86,-0.0007242049674892293,-0.010703620211449853
87,-0.0007227035554041658,-0.010404812430007423
88,-0.0007110862657060122,-0.010088385600015378
89,-0.0007038360052161957,-0.009929106812456552
90,-0.0007055316194354837,-0.009769367859496983
91,-0.0006888442389212379,-0.009456030427840363
92,-0.0006591730566441571,-0.00915660779835632
93,-0.0006195491853202839,-0.008852802683172024
94,-0.0005916741025114665,-0.008698892030086825
95,-0.0005550062029573784,-0.008545433669278542
96,-0.0005068253643171057,-0.008242768273629025
97,-0.0004542559824963414,-0.00792939811438206
98,-0.0004035901003005373,-0.007770343770289622
99,-0.00036836128534164446,-0.007610495361394993
100,-0.0003416180214672,-0.007304007169682169
101,-0.0003254275930564817,-0.006984462713906753
102,-0.00033340387988958233,-0.006821311481133602
103,-0.0003228791478472442,-0.006659111919274891
104,-0.00030721063157947457,-0.0063083353741144235
105,-0.0002914103245193327,-0.0059627469785702835
106,-0.00028301147580936967,-0.005807739863738418
107,-0.00026950797317366594,-0.005652995326373344
108,-0.0002635744821576967,-0.005326464158150875
109,-0.00027320287306303187,-0.0049778832438452944
110,-0.0002951007561551899,-0.004802653784239948
111,-0.000315826212266672,-0.004627484632916239
112,-0.00031509301453304725,-0.004267110092296127
113,-0.0003161131191741226,-0.0041004938369146055
114,-0.0003089415000515769,-0.003934298954285445
115,-0.00027831685651338216,-0.0035932469686233283
116,-0.0002647305810300134,-0.003405154279980164
117,-0.00025664531380424865,-0.003216778625863897
118,-0.0002475253421661142,-0.0028426060094113017
119,-0.00026132349570135506,-0.002649638079803159
120,-0.00027583380412073686,-0.0024566335177752356
121,-0.0002613161479171068,-0.0020692565124092732
122,-0.00023839026492722594,-0.001874290169627486
123,-0.00021051546929133516,-0.0016795783931620213
124,-0.0001751652708556095,-0.0012881793108965025
125,-0.00015078332752526194,-0.0011126950485457622
126,-0.00012164394436077881,-0.0009374555033723759
127,-7.153799817848917e-05,-0.0005715016849083362
128,-4.0726098388357265e-05,-0.0003874958550259219
129,-1.5976602597478085e-05,-0.00020317818212575004
130,1.1951283034869824e-05,0.00010138523988699408
131,3.931723654144477e-05,0.0003365683252423604
132,7.274559404727201e-05,0.0005714395675799629
133,0.00012285154022956165,0.0009373933860440027
134,0.00015199092339404462,0.0011126329312173867
135,0.0001761716007462618,0.0012881275464561915
136,0.00021111926722572664,0.0016795473344978348
137,0.00023859153090535645,0.0018742798167394237
138,0.0002613161479171068,0.0020692565124092732
139,0.00027583380412073686,0.0024566335177752356
