x_m,y_m
-0.0008803432286582653,-0.025360288795431108
-0.0008687702589341302,-0.025164538196686913
-0.0008405250721540957,-0.024969073026226866
-0.0007942966488746318,-0.02477391572869819
-0.000742255198151852,-0.024578857950174293
-0.0006877629899195885,-0.02438384212860839
-0.0006337712979336127,-0.024188817738206515
-0.0005796205893214248,-0.023993796070168594
-0.0005236565701444894,-0.02379880544599973
-0.00046291855254264124,-0.02360389655266332
-0.0004075811332173673,-0.023408895201107695
-0.0003562030286157231,-0.023213826066101062
-0.0003081734661587101,-0.023018699604067345
-0.00026519825300153586,-0.022823486611595393
-0.0002316716665852913,-0.02262811185867436
-0.00020976690321193814,-0.022432538140192915
-0.00019810315886634552,-0.022236789095509846
-0.00019280215363990695,-0.022040931120760474
-0.00019258555059429065,-0.021844986101067686
-0.00019567659315217743,-0.02164898445449642
-0.00020503050552656498,-0.02145287558762088
-0.00021956757695284067,-0.021256677985084706
-0.00024006131352586078,-0.021060378404466895
-0.0002655981576862506,-0.020863992485868923
-0.00029318158919399085,-0.020667571529704384
-0.0003190605427322211,-0.020471179754195334
-0.000339460294458737,-0.02027488178259769
-0.0003523939148076697,-0.020078711631137055
-0.0003589758161828588,-0.019882650221077873
-0.0003604808417955825,-0.019686675727109873
-0.0003604386800979338,-0.019490727720981958
-0.0003588510012320663,-0.0192948061741013
-0.0003571874435543923,-0.01909888592626557
-0.0003554462585013539,-0.018902967007410176
-0.0003537203114971785,-0.01870704782767945
-0.00035060578655275786,-0.01851115242039708
-0.00034589804511004897,-0.01831528428897429
-0.0003396841845892777,-0.018119441942303628
-0.0003284819948150396,-0.01792368499580829
-0.0003124154072856113,-0.01772801132778155
-0.00029203483488643987,-0.0175324115151572
-0.00026982351101686476,-0.017336843044990127
-0.0002457797655347323,-0.017141305945873167
-0.00021827770812880485,-0.016945828053041432
-0.00018691921531613587,-0.016750416182367247
-0.00015558255818139848,-0.01655500393786635
-0.00012566975937584535,-0.016359567316916998
-9.759695461309572e-05,-0.016164099195277552
-7.115474897747965e-05,-0.015968603157788083
-4.982535264440156e-05,-0.015773019589025387
-3.361151488034234e-05,-0.015577348441922037
-2.1965041803377665e-05,-0.015381599101554925
-1.2185891017584482e-05,-0.015185817792638234
-4.274062522962576e-06,-0.014990004515171967
-1.6977643312569715e-07,-0.014794126052596137
-5.207867931063086e-08,-0.014598179339645176
5.1938018927333296e-08,-0.014402232392474602
-8.487171594500059e-08,-0.014206281322356533
-2.6217196222571432e-08,-0.014010333598585658
1.850666242440304e-08,-0.013814385636321926
-1.8199000055771895e-07,-0.01361843347588392
-1.834559660607066e-07,-0.013422484722850597
1.8016996600970624e-08,-0.013226539444130853
-2.823297091017582e-08,-0.013030589924395609
-9.091635284311401e-08,-0.012834640123320381
5.304201036797048e-08,-0.012638693859950938
-5.524249397764183e-08,-0.012442743278184693
-1.8026025518609666e-07,-0.01224679240994516
-9.486589572411681e-08,-0.012050845143960228
-2.4312285812035572e-08,-0.011854897623901725
3.1400574550147047e-08,-0.011658949849769656
5.716237697577344e-08,-0.011463001562875602
6.781263844516739e-08,-0.011267053017272032
6.335135895830179e-08,-0.011071104212958949
2.839251549743415e-08,-0.0108751548865277
-2.1953596263400753e-08,-0.010679205296666484
-8.768697632417582e-08,-0.0104832554433753
6.872068076201575e-08,-0.010287309393137718
2.117597643014823e-07,-0.010091363114030213
8.363631263805715e-08,-0.009895412192621274
-6.029745633438083e-08,-0.009699461000539769
-2.2004154261588585e-07,-0.009503509537785702
-1.5153718352429904e-07,-0.009307561982644035
-9.676893970370624e-08,-0.009111614192340136
-3.2061840227645927e-07,-0.008915661632102301
-3.120547967939535e-07,-0.00871971305077519
-3.174779346812827e-07,-0.008523764229995092
-3.392935952296688e-07,-0.008327815128575078
-3.7522302289517756e-07,-0.008131865785527433
-4.2769384563266983e-07,-0.007935916159291175
-2.389121017858434e-07,-0.007739970663297817
-6.450164385208646e-08,-0.007544024921268106
9.553752816868232e-08,-0.007348078933202041
-3.358315474406219e-08,-0.007152127994720508
-1.797000113734783e-07,-0.0069561767652645545
-7.793145059716e-08,-0.006760229779605876
9.070708887414067e-09,-0.006564282541146471
8.130646708028456e-08,-0.00636833504988634
1.3864171936836284e-07,-0.006172387303529614
1.81076465751676e-07,-0.005976439302076291
2.0847538371964846e-07,-0.005780491043209649
2.2083847327215823e-07,-0.005584542526929689
2.1802918294084401e-07,-0.005388593750898651
2.0004751272567872e-07,-0.005192644715116536
4.414137239633776e-07,-0.004996700119369034
6.699641354372752e-07,-0.004800755304215094
5.904636933909413e-07,-0.004604805215231869
4.953737313780402e-07,-0.004408854859356129
3.846942493985041e-07,-0.004212904236587875
2.582836677617891e-07,-0.004016953344503264
1.1614198646789516e-07,-0.0038210021831022946
-4.18736602858619e-08,-0.0036250507499391033
-2.157632724995905e-07,-0.0034290990450136917
-4.056710134147954e-07,-0.0032331470658579857
-6.11596883031524e-07,-0.0030371948124719873
-8.336863538380664e-07,-0.002841242282365206
-1.0719394258343952e-06,-0.0026452894755376404
-1.0339012536482103e-06,-0.0024493413988149844
-1.0095161458916892e-06,-0.002253393088351924
-1.0015895600845755e-06,-0.0020574444961190394
-1.007440032632008e-06,-0.0018614956680229762
-1.0298984994717235e-06,-0.0016655465555981228
-1.0662591443353915e-06,-0.0014695972051680395
-1.0135769213238804e-06,-0.0012736493791514706
-8.691214406848784e-07,-0.0010777031242926766
-6.328927024184278e-07,-0.0008817584405916597
-4.07937210859038e-07,-0.0006858135638927077
-1.942549660066885e-07,-0.0004898684941958188
1.3790885388161795e-08,-0.00029392332800389816
2.1620034332551393e-07,-9.797806531694595e-05
4.186098012628379e-07,9.796719737000457e-05
6.2101925920016e-07,0.00029391246005695506
8.290651105950086e-07,0.0004898576262488756
