order,x_m,y_m
0,-2.4108960916537536e-05,-0.025360626799764523
1,-1.5192030183760845e-05,-0.025155949854292828
2,-2.708024980317995e-05,-0.025047700974526
3,-5.524395093477479e-05,-0.02493682598498456
4,-0.00010622488623609363,-0.02483183456334785
5,-0.0001865165350919727,-0.024757510086825887
6,-0.00029445334419719936,-0.024599623156462164
7,-0.0004120515745383662,-0.024469637160679486
8,-0.0005174537608791612,-0.024324166367012137
9,-0.0006100421058765669,-0.02416337890478899
10,-0.0006999910949880154,-0.023997551653059356
11,-0.0007878151991222566,-0.023836979852007993
12,-0.0008723908840132317,-0.023675405930723377
13,-0.0009510863746011653,-0.0234482805539013
14,-0.001048517523900733,-0.023305649855516312
15,-0.001148543693992528,-0.02307480267468213
16,-0.001233491398780192,-0.02288400745277482
17,-0.001297511672378642,-0.0227518602985215
18,-0.0013389821825429968,-0.022622034454002
19,-0.0013562905492585388,-0.02249566549115034
20,-0.0013594116112674575,-0.022386590576041972
21,-0.0013537677178249723,-0.02216464745826587
22,-0.0013314355740748776,-0.021920597140148615
23,-0.001283787020322583,-0.021779155320053593
24,-0.0012138087337663843,-0.021627476308438087
25,-0.0011475033273248521,-0.021485818777768527
26,-0.0010587161392209615,-0.02132793838864352
27,-0.000947240944515891,-0.021208111230768937
28,-0.0008163373555721161,-0.021066630405858478
29,-0.0006935903634003254,-0.02093361321826455
30,-0.0005899384776918453,-0.020790120684631815
31,-0.0004942232774452844,-0.020661920629359665
32,-0.000406601354259554,-0.020499550356059378
33,-0.0003283674183896509,-0.020333133757010055
34,-0.0002701049223310996,-0.020161611112472905
35,-0.00021968842947717816,-0.019943688321878244
36,-0.00017574953135324084,-0.019740557150771134
37,-0.00014477481561680366,-0.01963151802503888
38,-0.00010658428667042512,-0.01952261018856978
39,-7.521093867849482e-05,-0.019289437065639223
40,-4.8713146415374785e-05,-0.019070171985100907
41,-3.0649047459193555e-05,-0.01883659912148128
42,-1.515997653585941e-05,-0.018613178019270156
43,8.553970197605578e-06,-0.018371516169295634
44,2.907109754948097e-05,-0.018141831521681567
45,5.254155906711846e-05,-0.017897293032412245
46,7.43046913503567e-05,-0.01766462359633302
47,9.869624112579895e-05,-0.017543645484140353
48,0.0001175178191711989,-0.01742256602820957
49,0.00012427449452636854,-0.017169207034853428
50,0.000121861227002601,-0.016913356054981326
51,0.00013044333286030328,-0.016665992202137162
52,0.00014018381518159093,-0.016405853953602775
53,0.00014411607146813196,-0.01627722349598441
54,0.000144848821362458,-0.016148534824437212
55,0.00014496659351293965,-0.015903194233509478
56,0.0001441911608786901,-0.015656797977277936
57,0.0001428014548454966,-0.015394355285197042
58,0.00013241527597351597,-0.015265373083906032
59,0.00011917395459785913,-0.015136338934269824
60,0.00011121152750190757,-0.014862082379659988
61,0.00010443865524269573,-0.014585215566495046
