step,x,y,psi,KI,KII,G,Gc,score,kIIratio,abs_dth,cap_deg,kink_n,ds,mode
0,-0.00016338366921219292,0.0007778471416935343,1.9867767658175346,,,1.8983626747060492e-06,0.9999999999999996,-0.9999981016373248,0.5105954032502176,0.41598043902263804,61.683136978560206,115,0.00040432800000014406,PHYS
1,-0.0003948934914325516,0.0011050797926768277,2.1865233100075336,,,4.498675607002581e-06,0.9999999999999999,-0.9999955013243929,1.7545693056037268,0.19974654418999904,61.683136978560206,115,0.0004008466111295641,PHYS
2,-0.0006150834789991529,0.0014359477555156964,2.15798526959568,,,2.7021464069094863e-05,0.9999999999999999,-0.9999729785359308,35.364202134108645,0.028538040411853594,61.683136978560206,115,0.00039743834673785947,PHYS
3,-0.0007785701358924077,0.0017943629298734238,1.9987425909577272,,,0.0009002577512948215,0.9999999999999997,-0.9990997422487048,1.8469680872185548,0.15924267863795283,61.683136978560206,115,0.00039394076228795223,PHYS
4,-0.0008893420900066404,0.002168713912370129,1.8584911021906798,,,0.016315842606673996,0.9999999999999984,-0.9836841573933245,1.0388644001597795,0.1402514887670474,54.06915281669867,105,0.00039039606032148207,PHYS
5,-0.0010486157754654609,0.0025213138655835153,1.9950731715355703,,,0.0016832957063619165,0.9999999999999997,-0.9983167042936377,11.598341009235924,0.13658206934489048,54.06915281669867,105,0.0003869041662811571,PHYS
6,-0.001224424689981282,0.0028620558361699498,2.047129536719039,,,0.012600232155592393,1.0,-0.9873997678444076,0.0793892863348404,0.05205636518346868,54.06915281669867,105,0.00038342387111701547,PHYS
7,-0.0013137377737134598,0.0032313937053631025,1.8080609617585992,,,0.003125692755981019,0.9999999999999991,-0.996874307244018,0.7060059129298795,0.23906857496043976,54.06915281669867,105,0.00037998327403438364,PHYS
8,-0.001369745309823516,0.003603811643344308,1.7200666266974132,,,0.0022661666006037326,0.9999999999999889,-0.9977338333993852,0.7313738177047207,0.08799433506118604,65.18175590292839,119,0.0003766058478453201,PHYS
9,-0.00138015181775972,0.003976968488048792,1.5986768588939366,,,0.002325383115654161,0.9999999999997219,-0.9976746168840678,1.1374354604388361,0.12138976780347654,65.18175590292839,119,0.00037330192359165913,PHYS
10,-0.0013328227112524174,0.004344043063002472,1.442567837920084,,,0.004493778842807193,0.9999999999695737,-0.9955062211267665,0.42469645685797175,0.1561090209738527,65.18175590292839,119,0.000370113209572698,PHYS
11,-0.0012539826895070542,0.004702582023746972,1.3543485791033376,,,0.0015556812444169278,0.9999999994280011,-0.9984443181835841,0.48934478368012796,0.0882192588167463,65.18175590292839,119,0.0003671048016582669,PHYS
12,-0.0011380479585943724,0.005047834431685136,1.2468300925772446,,,0.0007487262238361139,0.9999999839656823,-0.9992512577418462,0.5272016159760853,0.10751848652609297,68.71928806492143,123,0.0003641978679494104,PHYS
13,-0.0009822236497496575,0.005373947690277022,1.1250474634524457,,,0.0002847485129716834,0.9999998344460164,-0.9997150859330447,0.9966836906140237,0.12178262912479942,68.71928806492143,123,0.0003614292083608513,PHYS
14,-0.0008890147152784514,0.005720463763495685,1.3080272464511777,,,0.0022767765692007303,0.9999999992721156,-0.9977232227029148,3.175255884539718,0.18297978299873296,68.71928806492143,123,0.00035883324046712795,PHYS
15,-0.0009314551816835012,0.0060738220200166875,1.6903298015817763,,,0.023384649640230733,0.9999999999999934,-0.9766153503597628,1.2178715420018271,0.3823025551305985,68.71928806492143,123,0.00035589780926586253,PHYS
16,-0.0010272328358393392,0.006413264931236603,1.845808078869564,,,0.012055747985061432,0.9999999999999996,-0.9879442520149381,1.1560528673379518,0.15547827728778785,58.50987856299607,111,0.00035269653955354675,PHYS
17,-0.0011222410636970062,0.006749650233106287,1.8460650021911666,,,0.015984374373773244,0.9999999999999993,-0.9840156256262261,1.0409617421144446,0.0002569233216025424,58.50987856299607,111,0.0003495448965077495,PHYS
18,-0.001237954420872761,0.00707617234466049,1.9113690370936922,,,0.00618082644140679,0.9999999999999998,-0.993819173558593,5.134153701845243,0.06530403490252557,58.50987856299607,111,0.00034641921188452966,PHYS
