order,x_m,y_m
0,-0.0010574703023319763,-0.025380028224503696
1,-0.0010442065553753624,-0.02514286717463451
2,-0.0010283574006402854,-0.024980340083233632
3,-0.0010145843489758012,-0.024834803486520726
4,-0.000998574832485779,-0.024635375720028656
5,-0.0009820656100984087,-0.024480452947351034
6,-0.0009680214261334494,-0.024319118917490785
7,-0.0009508056881593565,-0.024137826149121695
8,-0.0009259880159327322,-0.024011117585726088
9,-0.0008964013137677762,-0.0238411741455908
10,-0.0008689051143259145,-0.02366538295439426
11,-0.0008479319038800279,-0.02354243079254466
12,-0.0008267217789896598,-0.02331435371043369
13,-0.0008072763231835533,-0.02306929354521866
14,-0.0007917340785703487,-0.022916226588569837
15,-0.0007739531830114841,-0.02275914560876905
16,-0.0007425306663457162,-0.02259848644896109
17,-0.0006925021906865641,-0.022434779908169427
18,-0.0006278158928088067,-0.02226788767014663
19,-0.0005494447347906709,-0.022097993808902143
20,-0.00046784613636285217,-0.02191553980185598
21,-0.00039522635468747745,-0.02171690489652077
22,-0.0003382387038588716,-0.021512856828664148
23,-0.00029761944168736057,-0.021324212252319584
24,-0.0002641414813273706,-0.02113100145652374
25,-0.00023813398991079908,-0.02094154133392774
26,-0.00021327649097650396,-0.020747858595335848
27,-0.00020173254841155351,-0.020529257529767114
28,-0.00018816670090475427,-0.02033825084722137
29,-0.00016901785905554912,-0.020146004780129654
30,-0.0001507031625714503,-0.02003237653090913
31,-0.0001411114088330955,-0.019918550133950972
32,-0.00013897288579438512,-0.019702585746681097
33,-0.00015051640038965506,-0.019493425447191726
34,-0.00015799259645374076,-0.01925880815713432
35,-0.00015387703017983665,-0.019046629300806323
36,-0.00013819848512212365,-0.018832813059827747
37,-0.0001232067080125024,-0.018715201946175816
38,-0.0001067171050649654,-0.01859762485668406
39,-9.423967121005716e-05,-0.018367082456781807
40,-7.40826495981354e-05,-0.018122871611065714
41,-5.3946537917517897e-05,-0.01787969212572827
42,-4.19710309086411e-05,-0.01763268671145043
43,-4.10697609476905e-05,-0.017508169867948457
44,-3.8806222594152916e-05,-0.017383683969324597
45,-3.2249327860294316e-05,-0.017130011577198248
46,-2.0101979919573595e-05,-0.016874160040737274
47,-9.027773209715415e-06,-0.016615957571841592
48,-4.520246043613269e-06,-0.016485659218325392
49,-2.9634479860293714e-06,-0.016355293836936347
50,3.8482621132446663e-10,-0.01609219100625862
51,1.4111229351078364e-06,-0.01582666278582241
52,-2.073461575585192e-07,-0.015692639997698116
53,-1.8681422705773103e-06,-0.015558616248085988
54,-2.2733350403531954e-07,-0.015288247807340482
55,1.4499253510380062e-06,-0.01501542443556378
56,-2.1304379329151002e-07,-0.014877716894916375
57,-1.6679494354760709e-06,-0.014740014080576758
58,2.7180740956394926e-07,-0.014462218051210089
59,1.995179317474152e-06,-0.01418189383574148
60,5.426316986105167e-07,-0.01404040606550421
61,-6.938056240920676e-07,-0.013898923204363272
62,1.2992816583850654e-06,-0.01361348961971993
63,6.066567594873588e-08,-0.013469425732411052
64,-1.198331629855547e-06,-0.01332536138212618
65,8.311214177053521e-07,-0.013034719790771063
66,-1.8527255831000782e-07,-0.012888032882388527
67,-1.2201963263523185e-06,-0.012741345553088822
68,8.462860176696687e-07,-0.012445400930029268
69,-1.8865303142517954e-07,-0.012296037579772962
70,-1.2424599660997085e-06,-0.012146673800919456
71,8.617273096284375e-07,-0.011845329387312274
72,-1.9209518477336978e-07,-0.01169324076096041
73,-1.2651298272248058e-06,-0.011541151698191181
74,8.774503425547044e-07,-0.011234308969732931
75,-1.9560014350922013e-07,-0.011079445342036476
76,-1.2882133214982846e-06,-0.010924581269959809
77,8.934602571342911e-07,-0.010612139904677277
78,-1.9916905354730622e-07,-0.01045445064310278
79,-1.3117179960362167e-06,-0.01029676092903993
80,1.1978496382483855e-06,-0.009978625318595644
81,3.759879523106939e-07,-0.00981806547030825
82,-7.568605016235116e-07,-0.009657498557739187
83,1.7984965761356698e-06,-0.009333558261120008
84,9.616392436579536e-07,-0.00917006884600325
85,1.0412874265675773e-07,-0.009006578961735342
86,-7.403287068663077e-07,-0.008841604778973786
87,-1.6264676266688302e-06,-0.008676629649388519
88,1.2795236661688235e-06,-0.008343789504964904
89,4.1965828895192683e-07,-0.008175805211651586
90,-1.7850296918334543e-07,-0.00800782686313014
91,-7.606828521314622e-07,-0.007838323466085052
92,-1.6711847345569727e-06,-0.0076688126109764046
93,1.3147021092693904e-06,-0.007326821562764671
94,4.311961181737818e-07,-0.007154218811817021
95,-1.8341062051634477e-07,-0.0069816221691037204
96,-7.81596601843766e-07,-0.006807458549113456
97,-1.4017850364450267e-06,-0.006633294429322093
98,1.9844040798558155e-06,-0.006281908116323767
99,1.3948176362418743e-06,-0.006104567159051569
100,1.0844132971608643e-06,-0.005927232543595893
101,4.6978115555424476e-07,-0.0057482805753350736
102,-1.6745836134771227e-07,-0.005569328093531932
103,-7.876724295680272e-07,-0.00538875093080665
104,-1.4306991872891898e-06,-0.00520817324987519
105,-1.74963759381933e-06,-0.0050259631047349885
106,-2.088808608789453e-06,-0.004843752499996957
107,1.7636567586440855e-06,-0.004476124773837506
108,1.4593153738035072e-06,-0.004290590495423997
109,1.1345576333222599e-06,-0.004105055753238709
110,8.274523004864317e-07,-0.0039178365015601615
111,4.997451960657229e-07,-0.003730616781897978
112,1.8985081378981172e-07,-0.0035416972544726677
113,-1.4083243991385236e-07,-0.003352777254813621
114,-1.324411788704369e-07,-0.003162149304198035
115,-1.4211144277988156e-07,-0.002971520943302293
116,-1.3364397452189478e-07,-0.0027791617600373924
117,-1.4340206121130818e-07,-0.0025868021627662766
118,-4.831769184652424e-07,-0.002392688111940339
119,-8.445061934494674e-07,-0.002198573571490747
120,-1.1873667961272293e-06,-0.0020026966281750393
121,-1.5519775680584977e-06,-0.0018068191907890407
122,-1.8979519400841942e-06,-0.0016091633448600399
123,-2.086117254752453e-06,-0.0014115110836740103
124,2.452429759962319e-06,-0.0010127282326553647
125,2.486671415599733e-06,-0.0008114747484783806
126,2.505237424945918e-06,-0.0006102209082181446
127,2.5527034200769854e-06,-0.00040713998644134266
128,2.5907645399075006e-06,-0.0002040588510262287
129,3.275634138853951e-07,-0.00010200744083175562
130,-2.287091809980251e-06,5.1952888046455316e-08
131,-2.2344866497084432e-06,0.00020405075792508508
132,-2.196425529877927e-06,0.000407131893340199
133,-2.148959534746861e-06,0.000610212815117001
134,-2.1303935254006386e-06,0.0008114666553772386
135,-2.096151869763262e-06,0.001012720139554221
136,2.2642561998519768e-06,0.0014115070371234384
137,1.8979519400841942e-06,0.00160916334486004
138,1.5519775680584909e-06,0.0018068191907890407
139,1.1873667961272225e-06,0.0020026966281750393
140,8.445061934494606e-07,0.002198573571490747
141,4.831769184652492e-07,0.0023926881119403394
142,1.4340206121131496e-07,0.0025868021627662766
143,1.336439745218677e-07,0.0027791617600373907
144,1.4211144277988156e-07,0.002971520943302293
145,1.3244117887045044e-07,0.0031621493041980365
146,1.4083243991383884e-07,0.003352777254813621
147,-1.8985081378981172e-07,0.003541697254472668
148,-4.997451960657229e-07,0.003730616781897978
149,-8.274523004864182e-07,0.0039178365015601615
150,-1.1345576333222328e-06,0.004105055753238709
151,-1.4593153738034937e-06,0.004290590495423997
152,-1.7636567586440855e-06,0.004476124773837506
153,2.088808608789453e-06,0.004843752499996957
154,1.749637593819357e-06,0.005025963104734989
155,1.4306991872892169e-06,0.00520817324987519
156,7.876724295679189e-07,0.005388750930806643
157,1.6745836134776645e-07,0.005569328093531932
158,-4.697811555543531e-07,0.0057482805753350675
159,-1.084413297160783e-06,0.005927232543595893
160,-1.3948176362419283e-06,0.006104567159051564
161,-1.9844040798557613e-06,0.006281908116323767
162,1.401785036445108e-06,0.006633294429322093
163,7.815966018436304e-07,0.006807458549113449
164,1.8341062051634477e-07,0.0069816221691037204
165,-4.3119611817389014e-07,0.007154218811817015
166,-1.3147021092693633e-06,0.007326821562764671
167,1.6711847345569998e-06,0.0076688126109764046
168,7.606828521315977e-07,0.007838323466085057
169,1.7850296918334543e-07,0.00800782686313014
170,-4.196582889517913e-07,0.008175805211651592
171,-1.2795236661688506e-06,0.008343789504964904
172,1.6264676266688571e-06,0.008676629649388519
173,7.40328706866389e-07,0.00884160477897379
174,-1.0412874265681192e-07,0.009006578961735342
175,-9.616392436578723e-07,0.009170068846003255
176,-1.7984965761356969e-06,0.009333558261120008
177,7.568605016235116e-07,0.009657498557739187
178,-3.759879523108565e-07,0.009818065470308243
179,-1.1978496382483855e-06,0.009978625318595644
180,1.3117179960362167e-06,0.01029676092903993
181,1.9916905354736043e-07,0.010454450643102785
182,-8.934602571343182e-07,0.010612139904677277
183,1.2882133214982304e-06,0.010924581269959809
184,1.9560014350927434e-07,0.011079445342036481
185,-8.774503425547587e-07,0.011234308969732931
186,1.2651298272248058e-06,0.011541151698191181
187,1.9209518477326139e-07,0.011693240760960405
188,-8.617273096284375e-07,0.011845329387312274
189,1.2424599660997085e-06,0.012146673800919456
190,1.8865303142528793e-07,0.012296037579772967
191,-8.462860176697228e-07,0.012445400930029268
192,1.2201963263523185e-06,0.012741345553088822
193,1.85272558310062e-07,0.012888032882388533
194,-8.311214177053521e-07,0.013034719790771063
195,1.198331629855547e-06,0.01332536138212618
196,-6.066567594884428e-08,0.013469425732411049
197,-1.2992816583851738e-06,0.01361348961971993
198,6.938056240920676e-07,0.013898923204363272
199,-5.426316986104083e-07,0.014040406065504215
200,-1.995179317474152e-06,0.01418189383574148
201,-2.7180740956394926e-07,0.014462218051210089
202,1.6679494354760709e-06,0.014740014080576758
203,2.1304379329140162e-07,0.014877716894916371
204,-1.4499253510380062e-06,0.01501542443556378
205,2.2733350403531954e-07,0.015288247807340482
206,1.8681422705773103e-06,0.015558616248085988
207,2.073461575584108e-07,0.01569263999769811
208,-1.4111229351078906e-06,0.01582666278582241
209,-3.8482621132446663e-10,0.01609219100625862
210,2.963447986029317e-06,0.016355293836936347
211,4.520246043613269e-06,0.016485659218325392
212,9.027773209715415e-06,0.016615957571841592
213,2.0101979919573595e-05,0.016874160040737274
214,3.224932786029426e-05,0.017130011577198248
215,3.880622259415286e-05,0.017383683969324597
216,4.10697609476903e-05,0.017508169867948453
217,4.1971030908641046e-05,0.01763268671145043
218,5.394653791751779e-05,0.01787969212572827
219,7.408264959813524e-05,0.018122871611065718
220,9.4239671210057e-05,0.018367082456781807
221,0.00010671710506496529,0.01859762485668406
222,0.00012320670801250236,0.01871520194617582
223,0.0001381984851221236,0.018832813059827747
224,0.00015387703017983665,0.019046629300806323
225,0.0001579925964537407,0.01925880815713432
226,0.000150516400389655,0.019493425447191726
227,0.000138972885794385,0.019702585746681097
228,0.00014111140883309544,0.019918550133950972
229,0.00015070316257145025,0.020032376530909127
230,0.00016901785905554917,0.020146004780129654
231,0.00018816670090475432,0.02033825084722137
232,0.00020173254841155351,0.020529257529767114
233,0.00021327649097650396,0.020747858595335848
234,0.00023813398991079908,0.02094154133392774
235,0.0002641414813273706,0.02113100145652374
236,0.00029761944168736057,0.021324212252319584
237,0.0003382387038588716,0.021512856828664148
238,0.0003952263546874775,0.02171690489652077
239,0.00046784613636285217,0.02191553980185598
240,0.0005494447347906709,0.022097993808902143
241,0.0006278158928088067,0.02226788767014663
242,0.000692502190686564,0.022434779908169427
243,0.000742530666345716,0.02259848644896109
244,0.0007739531830114841,0.02275914560876905
245,0.0007917340785703487,0.022916226588569837
246,0.0008072763231835534,0.02306929354521866
247,0.0008267217789896598,0.02331435371043369
248,0.000847931903880028,0.02354243079254466
249,0.0008689051143259145,0.02366538295439426
250,0.0008964013137677761,0.0238411741455908
251,0.0009259880159327322,0.024011117585726088
252,0.0009508056881593565,0.024137826149121695
253,0.0009681030871554967,0.02431911706250363
254,0.000982147271120456,0.024480451092363877
255,0.0009986564935078263,0.0246353738650415
256,0.0010146660099978485,0.02483480163153357
257,0.0010284390616623327,0.024980338228246475
258,0.0010442882163974097,0.02514286531964735
259,0.0010561901389746658,0.025320075565975538
