order,x_m,y_m
0,0.0003697183098591509,-0.024781690140845063
1,-0.00032293762575453004,-0.02406338028169014
2,-0.0010591239746169344,-0.02334507042253521
3,-0.001818526543878658,-0.022626760563380283
4,-0.0025808311406902967,-0.021908450704225355
5,-0.003325723572202447,-0.021190140845070427
6,-0.004032889645565703,-0.0204718309859155
7,-0.0046820151679306905,-0.019753521126760685
8,-0.005200758396533077,-0.019035211267605753
9,-0.005614192849404152,-0.01831690140845082
10,-0.005919068255688011,-0.017598591549295883
11,-0.006118634886240559,-0.01688028169014095
12,-0.0062226435536295085,-0.016161971830986013
13,-0.006247345612134384,-0.015443661971831082
14,-0.006215492957746518,-0.014725352112676149
15,-0.006156338028169052,-0.014007042253521215
16,-0.00610563380281694,-0.01328873239436628
17,-0.0060549295774648265,-0.012570422535211345
18,-0.006097183098591587,-0.011852112676056412
19,-0.006183640303358652,-0.011133802816901479
20,-0.00627204767063926,-0.010415492957746544
21,-0.006326652221018458,-0.00969718309859161
22,-0.006318201516793106,-0.008978873239436677
23,-0.0062239436619718706,-0.008260563380281742
24,-0.006027627302275228,-0.007542253521126809
25,-0.005719501625135464,-0.006823943661971875
26,-0.005296316359696675,-0.006105633802816941
27,-0.004761321776814765,-0.0053873239436620065
28,-0.004124268689057449,-0.004669014084507072
29,-0.003401408450704248,-0.003950704225352138
30,-0.0026154929577464963,-0.0032323943661972045
31,-0.0017957746478873366,-0.0025140845070422703
32,-0.0010774647887324027,-0.0017957746478873366
33,-0.0003591549295774684,-0.0010774647887324027
34,0.00035915492957746533,-0.0003591549295774684
35,0.0010774647887323993,0.00035915492957746533
36,0.0017957746478873334,0.0010774647887323993
37,0.0025140845070422677,0.0017957746478873334
38,0.003232394366197202,0.0025140845070422677
39,0.004001408450704249,0.003232394366197202
40,0.004778873239436648,0.0039507042253521365
41,0.005529035752979448,0.00466901408450707
42,0.006222643553629506,0.005387323943662004
43,0.00683694474539549,0.006105633802816937
44,0.007355687973997876,0.006823943661971871
45,0.007769122426868951,0.007542253521126805
46,0.00807399783315281,0.008260563380281739
47,0.008273564463705356,0.008978873239436674
48,0.008377573131094305,0.009697183098591607
49,0.00840227518959918,0.010415492957746542
50,0.008370422535211315,0.011133802816901473
51,0.00831126760563385,0.011852112676056408
52,0.008260563380281737,0.012570422535211343
53,0.008260563380281737,0.013288732394366278
54,0.008260563380281737,0.01400704225352121
55,0.008260563380281737,0.014725352112676145
56,0.008260563380281737,0.015443661971831078
57,0.008260563380281737,0.016161971830986013
58,0.00831126760563385,0.01688028169014095
59,0.008370422535211315,0.01759859154929588
60,0.00840227518959918,0.018316901408450815
61,0.008377573131094305,0.01903521126760575
62,0.008273564463705356,0.01975352112676068
63,0.008126025383067635,0.020471830985915495
64,0.007879817365732858,0.021190140845070427
65,0.0075146262188515705,0.021908450704225355
66,0.007010137749574369,0.02262676056338029
67,0.00634603776505185,0.023345070422535218
68,0.005502012072434608,0.024063380281690153
69,0.00445774647887324,0.024781690140845084
