Sample,Theta,Sigma1_max,Sigma3_min,Energy_pts,BufferArea_m2,BufferFrac_ofDisk
1,0,64.59524523609512,-33.54763875800262,710,0.00032196468954572504,0.1576079103183379
2,15,58.451516571763065,-30.058883534672457,592,0.000327640349137076,0.16038625489125732
3,30,62.89649146636365,-23.691741930908066,423,0.00031370918468557826,0.15356668184863692
4,45,53.401597188304336,-21.60246623696112,179,0.00034724717317992463,0.16998417250679712
5,60,66.74450378279627,-20.063413811515606,411,0.00035653461614758975,0.1745305545352107
6,75,56.54327792702237,-13.78999019151628,347,0.0003549867089863122,0.17377282419714177
7,90,46.47389996489153,-10.665064256808355,96,0.00039162051180321366,0.19170577553143986
