contrast,aspect,E_inclusion_GPa,concentration
1.5,1.0,45.0,1.1250000000000002
1.5,2.0,45.0,1.2144912454566956
1.5,3.0,45.0,1.2725672101478342
2.0,1.0,60.0,1.2000000000000002
2.0,2.0,60.0,1.3590276603317726
2.0,3.0,60.0,1.4699034673574711
2.5,1.0,75.0,1.2500000000000002
2.5,2.0,75.0,1.4629711953642897
2.5,3.0,75.0,1.6192675641414482
3.0,1.0,90.0,1.285714285714286
3.0,2.0,90.0,1.5412985438114062
3.0,3.0,90.0,1.7362245252456
