Rock,sigma0,sigma90,n,eta,beta_star,w,W_min,notch_FWHM,sigma0_lo95,sigma0_hi95,sigma90_lo95,sigma90_hi95,n_lo95,n_hi95,eta_lo95,eta_hi95,beta_star_lo95,beta_star_hi95,w_lo95,w_hi95,R2,RMSE,chi2red,AICc
Augen gneiss,10.457835243144299,8.122208498736136,1.9999999990000807,0.2864681761067493,67.44585393940737,10.267660155520582,0.8816586572383761,18.276423787684422,10.179038660924638,10.687689858641617,7.877392175620835,8.53071149720705,1.9999999990000001,2.0000000009999996,0.14525886403448027,1.2617069496787527,62.79812082217899,73.5378549243889,5.256796034267123,16.449833339137733,0.9021163553757792,0.3476318427508309,0.9035665569346318,33.609572086631104
Psammitic schist,9.379429307004871,5.815286526278192,1.9999999990000807,1.9729688160544483,76.51106566199944,10.267660155520582,0.5799690566574368,22.36769346919916,8.503106703234039,9.902833401592884,5.405964599632073,6.644557311101369,1.9999999990000001,2.0000000009999996,1.1923664257081403,5.514370400055636,74.52970771950226,80.9373539538714,5.256796034267123,16.449833339137733,0.9415619127480734,0.5067371682775903,1.0232467803122878,29.395195265308892
