rock,angle_deg,rotation_median_deg,rotation_p95_deg
Augen gneiss,0.0,0.0,0.0
Augen gneiss,15.0,1.3189665617906756,3.374388248398971
Augen gneiss,30.0,2.030306761366309,5.92611790725521
Augen gneiss,45.0,1.9105711015464233,7.327254661854223
Augen gneiss,60.0,1.2235857789280349,7.851696028493064
Augen gneiss,75.0,0.7299472360694064,7.034860493155969
Augen gneiss,90.0,0.592277979985674,6.002525970824323
Psammitic schist,0.0,0.0,0.0
Psammitic schist,15.0,1.3193244546021823,3.337012409188062
Psammitic schist,30.0,3.0356108048468777,8.348978153001585
Psammitic schist,45.0,3.5205823057174945,13.986005326045385
Psammitic schist,60.0,2.4979159617458286,23.502072190418275
Psammitic schist,75.0,1.4414093484412773,38.7630953156865
Psammitic schist,90.0,1.1098739943069014,52.2931710939335
