k_C,k_T,mixed_fraction_augen_gneiss,mixed_fraction_psammitic_schist,sd_augen_gneiss,sd_psammitic_schist,adopted_augen_gneiss,adopted_psammitic_schist
0.05,0.017499999999999998,0.22849514115418978,0.20520805013231727,0.26366322386283403,0.23735315523140738,True,True
0.1,0.034999999999999996,0.2279981185046014,0.20611566231232312,0.26123192467353623,0.2382357962239417,False,False
0.15,0.0525,0.22859621804844096,0.20704968082408182,0.26077176689404324,0.23928713417482816,False,False
0.2,0.06999999999999999,0.2291458071289459,0.17806601682768153,0.26032987005398317,0.23274798280502168,False,False
0.25,0.0875,0.1920051106399164,0.1789743217264396,0.2511739407814757,0.23388036730939277,False,False
0.3,0.105,0.192997177234576,0.17953256730930395,0.25125086143514314,0.2346409402790977,False,False
0.35,0.12249999999999998,0.19355010593101366,0.18126111434915412,0.25133132867162905,0.2366731014336062,False,False
0.39999999999999997,0.13999999999999999,0.1942765369557401,0.18241344753561464,0.2512159231475463,0.23807489295938952,False,False
0.44999999999999996,0.15749999999999997,0.1955244929732977,0.18318262489508644,0.2518293129919362,0.23903968023381367,False,False
0.49999999999999994,0.17499999999999996,0.19624425962096914,0.18404908282419266,0.2520227184774621,0.24002093333958027,False,False
0.5499999999999999,0.19249999999999998,0.19699957298290485,0.1847969565027418,0.2519916594301421,0.2408929612404806,False,False
0.6,0.21,0.1987547069654049,0.18569628717130554,0.25332856774249146,0.24191054620194682,False,False
0.65,0.22749999999999998,0.17186297035713483,0.18652696224411663,0.2443739195371066,0.2427997179607991,False,False
0.7,0.24499999999999997,0.1724941343858461,0.18737796024280767,0.2446038727264733,0.2438425543765179,False,False
0.75,0.26249999999999996,0.1734784231310806,0.18811308139483923,0.24526348886769417,0.24471255656186527,False,False
0.7999999999999999,0.27999999999999997,0.17408939804341467,0.18843936830541344,0.2457871675793883,0.24505451914792004,False,False
0.85,0.2975,0.17594218601828113,0.18916624642337196,0.24794284248400708,0.24587545450516882,False,False
0.9,0.315,0.17681855724129342,0.18989897867941588,0.2485999365161335,0.24677751236583947,False,False
