contrast,fraction,stiffening
1.5,0.1,1.0384615384615383
1.5,0.2,1.0789473684210527
1.5,0.3,1.1216216216216217
1.5,0.4,1.1666666666666667
2.0,0.1,1.0625
2.0,0.2,1.1304347826086956
2.0,0.3,1.2045454545454546
2.0,0.4,1.2857142857142858
2.5,0.1,1.0789473684210527
2.5,0.2,1.1666666666666667
2.5,0.3,1.2647058823529411
2.5,0.4,1.375
3.0,0.1,1.0909090909090908
3.0,0.2,1.1935483870967742
3.0,0.3,1.3103448275862069
3.0,0.4,1.4444444444444444
