rock,tensile_ratio,compressive_ratio,ucs_min_angle_deg,tensile_min_angle_deg
Augen gneiss,1.3722149410222806,1.7516357688113418,30,75
Psammitic schist,2.759913482335977,1.6881818181818182,45,75
