sample_id,rock,angle_deg,sigma_n_mean_MPa,sigma_n_max_MPa,tau_abs_mean_MPa,tau_abs_max_MPa,open_fraction
1,Augen gneiss,0.0,-20.694121289111816,-6.50144074560623,5.852751483219856,30.025515780326195,0.0
2,Augen gneiss,15.0,-18.34898647845582,-2.465922993971688,7.539527737265802,33.80297638971347,0.0
3,Augen gneiss,30.0,-14.096606634658519,0.5212604365615334,10.124891095385678,34.361081197790334,0.00041399296211964395
4,Augen gneiss,45.0,-8.348047785642414,2.971953054480495,10.514079898346,32.11927595339248,0.04167529152004416
5,Augen gneiss,60.0,-3.0473565223511323,2.6238210527252237,7.91249802269533,26.210589961145992,0.20768646933002138
6,Augen gneiss,75.0,0.05771365436259995,4.261339548033205,5.13322517293249,21.7411932521491,0.5350859035396398
7,Augen gneiss,90.0,1.223830978341616,6.245785128896588,3.506058297488535,17.87487931480774,0.6014627751328228
8,Psammitic schist,0.0,-18.06690260578186,-8.679073009134601,5.681194219154239,30.074202672185287,0.0
9,Psammitic schist,15.0,-14.794953813073453,-2.5791112076886025,6.561967861862245,30.440567016503262,0.0
10,Psammitic schist,30.0,-11.419009062685873,-0.012622492965065124,8.520787979411269,29.217692418173165,0.0
11,Psammitic schist,45.0,-6.355264937318243,1.094134569753681,7.897811956485781,24.056840100926355,0.016559718484785758
12,Psammitic schist,60.0,-2.528358417332389,1.1636353366830612,5.822994434491689,19.12139864919737,0.08059062995929069
13,Psammitic schist,75.0,-0.18708066774633048,1.4517620992065363,2.2515644322508708,9.28922775927214,0.4074380735527496
14,Psammitic schist,90.0,0.43593512393788075,3.3247880448478906,1.9900201805244264,9.932512524412594,0.4865107293176016
