sample_id,rock,angle_deg,heterogeneity,failed_fraction,delta_failure_pct
1,Augen gneiss,0.0,0.0,0.8589663975712413,0.0
1,Augen gneiss,0.0,0.1,0.8715931829158904,1.2626785344649116
1,Augen gneiss,0.0,0.2,0.8833919823363002,2.442558476505896
1,Augen gneiss,0.0,0.3,0.893051818119092,3.4085420547850687
1,Augen gneiss,0.0,0.4,0.9078175671013593,4.885116953011803
2,Augen gneiss,15.0,0.0,0.8275029324501484,0.0
2,Augen gneiss,15.0,0.1,0.8432346650106948,1.5731732560546385
2,Augen gneiss,15.0,0.2,0.8568274339336232,2.9324501483474763
2,Augen gneiss,15.0,0.3,0.8703512040295315,4.2848271579383095
2,Augen gneiss,15.0,0.4,0.8805630304284827,5.306009797833433
3,Augen gneiss,30.0,0.0,0.8123231905057614,0.0
3,Augen gneiss,30.0,0.1,0.8252949699855102,1.2971779479748813
3,Augen gneiss,30.0,0.2,0.8386117436003588,2.6288553094597433
3,Augen gneiss,30.0,0.3,0.8532394949285862,4.091630442282479
3,Augen gneiss,30.0,0.4,0.8653142896570758,5.299109915131439
4,Augen gneiss,45.0,0.0,0.6879873042158283,0.0
4,Augen gneiss,45.0,0.1,0.7083419581867109,2.035465397088254
4,Augen gneiss,45.0,0.2,0.7269716414820948,3.898433726626649
4,Augen gneiss,45.0,0.3,0.7436003587939005,5.56130545780722
4,Augen gneiss,45.0,0.4,0.7610570620299455,7.306975781411717
5,Augen gneiss,60.0,0.0,0.6964051611122611,0.0
5,Augen gneiss,60.0,0.1,0.7067549851652521,1.0349824052991008
5,Augen gneiss,60.0,0.2,0.7188297798937419,2.242461878148072
5,Augen gneiss,60.0,0.3,0.7300075898709721,3.3602428758711
5,Augen gneiss,60.0,0.4,0.7444973435451597,4.809218243289859
6,Augen gneiss,75.0,0.0,0.2760643069067826,0.0
6,Augen gneiss,75.0,0.1,0.3129096805354309,3.6845373628648312
6,Augen gneiss,75.0,0.2,0.34368315738632443,6.761885047954186
6,Augen gneiss,75.0,0.3,0.37832056855033463,10.225626164355205
6,Augen gneiss,75.0,0.4,0.41378596563858416,13.772165873180159
7,Augen gneiss,90.0,0.0,0.3086317532601946,0.0
7,Augen gneiss,90.0,0.1,0.34644311046712206,3.7811357206927463
7,Augen gneiss,90.0,0.2,0.38563444421444837,7.700269095425377
7,Augen gneiss,90.0,0.3,0.41626992341130203,10.763817015110744
7,Augen gneiss,90.0,0.4,0.4544262747533292,14.57945214931346
8,Psammitic schist,0.0,0.0,0.9754364175809012,0.0
8,Psammitic schist,0.0,0.1,0.9792313530669978,0.3794935486096662
8,Psammitic schist,0.0,0.2,0.9821983026288553,0.6761885047954164
8,Psammitic schist,0.0,0.3,0.9855102463258124,1.007382874491125
8,Psammitic schist,0.0,0.4,0.9891671841578693,1.3730766576968145
9,Psammitic schist,15.0,0.0,0.9155454357275926,0.0
9,Psammitic schist,15.0,0.1,0.9285172152073414,1.2971779479748813
9,Psammitic schist,15.0,0.2,0.9382460498171531,2.270061408956048
9,Psammitic schist,15.0,0.3,0.9473538949837853,3.180845925619269
9,Psammitic schist,15.0,0.4,0.9554267577451183,3.98813220175257
10,Psammitic schist,30.0,0.0,0.8919478368867729,0.0
10,Psammitic schist,30.0,0.1,0.9003656937832056,0.8417856896432707
10,Psammitic schist,30.0,0.2,0.9085765541985786,1.6628717311805707
10,Psammitic schist,30.0,0.3,0.9165114193058718,2.456358241909884
10,Psammitic schist,30.0,0.4,0.925619264472504,3.367142758573105
11,Psammitic schist,45.0,0.0,0.7710618919478369,0.0
11,Psammitic schist,45.0,0.1,0.7795487476712896,0.8486855723452646
11,Psammitic schist,45.0,0.2,0.7888635893189816,1.7801697371144676
11,Psammitic schist,45.0,0.3,0.7999034016421721,2.884150969433519
11,Psammitic schist,45.0,0.4,0.8085972538466846,3.7535361898847652
12,Psammitic schist,60.0,0.0,0.5724832677844477,0.0
12,Psammitic schist,60.0,0.1,0.5850410543020769,1.2557786517629177
12,Psammitic schist,60.0,0.2,0.597598840819706,2.5115573035258354
12,Psammitic schist,60.0,0.3,0.6093976402401159,3.69143724556682
12,Psammitic schist,60.0,0.4,0.6214724349686055,4.89891671841578
13,Psammitic schist,75.0,0.0,0.1119850962533637,0.0
13,Psammitic schist,75.0,0.1,0.12226592147933485,1.0280825225971153
13,Psammitic schist,75.0,0.2,0.1554543572759263,4.34692610225626
13,Psammitic schist,75.0,0.3,0.1969916511419306,8.50065548885669
13,Psammitic schist,75.0,0.4,0.23666597667839648,12.468088042503279
14,Psammitic schist,90.0,0.0,0.28958807700269096,0.0
14,Psammitic schist,90.0,0.1,0.32167253156696335,3.2084454564272393
14,Psammitic schist,90.0,0.2,0.3463051128130822,5.6717035810391225
14,Psammitic schist,90.0,0.3,0.366314772648865,7.672669564617402
14,Psammitic schist,90.0,0.4,0.38901538673842545,9.942730973573449
