sample,angle_deg,WT,WS,MT,MS,none,n_points,failed_point_fraction
1,0,0.0,0.0,0.0,0.3190315237635373,0.6809684762364627,14497,0.3190315237635373
2,15,0.0,0.002621231979030144,0.0,0.34869283299993103,0.6486859350210389,14497,0.35131406497896117
3,30,0.0,0.02290128992205284,0.0,0.4794785127957508,0.4976201972821963,14497,0.5023798027178037
4,45,0.0,0.11388563150996758,0.0,0.333931158170656,0.5521832103193764,14497,0.44781678968062355
5,60,0.0,0.21501000206939366,0.0,0.23770435262468098,0.5472856453059254,14497,0.4527143546940746
6,75,0.0876043319307443,0.07215285921225081,0.0,0.0,0.8402428088570049,14497,0.1597571911429951
7,90,0.1439608194798924,0.006415120369731669,0.0,0.0,0.849624060150376,14497,0.15037593984962405
