sample_id,rock,angle_deg,corridor_axis_deg,deviation_from_load_axis_deg,corridor_half_width,peak_displacement_mm
1,Augen gneiss,0.0,89.7152162568442,0.28478374315579913,0.33748840641601957,0.005963757363036207
2,Augen gneiss,15.0,89.33439973781202,0.6656002621879793,0.34320043069879486,0.006036245496840692
3,Augen gneiss,30.0,90.38958950242395,0.3895895024239451,0.34245227059486427,0.006206774816220278
4,Augen gneiss,45.0,93.15003870114293,3.1500387011429325,0.3459242411186829,0.005822959053281941
5,Augen gneiss,60.0,93.39651650470084,3.396516504700841,0.35784918579221914,0.00496757255563947
6,Augen gneiss,75.0,91.6716166669795,1.671616666979503,0.37608432601767344,0.004224725625440115
7,Augen gneiss,90.0,89.31443066434599,0.6855693356540087,0.3803261832845445,0.004160650819569954
8,Psammitic schist,0.0,89.6852138835546,0.3147861164454042,0.32673701344365863,0.015452299366918191
9,Psammitic schist,15.0,93.508512342502,3.5085123425020015,0.3318322527327052,0.012365009068883173
10,Psammitic schist,30.0,94.5086213822828,4.508621382282797,0.3476164832528651,0.015213909638049103
11,Psammitic schist,45.0,97.55655782297856,7.5565578229785615,0.35568006327234875,0.017406181522705802
12,Psammitic schist,60.0,96.9754822370351,6.975482237035095,0.3785857158295763,0.014651493524986658
13,Psammitic schist,75.0,93.20472374244265,3.2047237424426527,0.40659761274869416,0.011517959711750765
14,Psammitic schist,90.0,89.09499953049881,0.9050004695011893,0.4175377188682209,0.010770795267802861
