rock,u_95th_percentile_MPa,n_values,n_specimens,note
Augen gneiss,0.04977443736973382,140567,7,95th percentile of strain-energy density pooled over the seven orientations; sets the shared colour scale
Psammitic schist,0.0777672257174833,140567,7,95th percentile of strain-energy density pooled over the seven orientations; sets the shared colour scale
