sample,lithology,lithology_key,angle_deg,regime,mean_stress_offset_MPa,total_U_MJ_m3,WT_MJ_m3,WT_pct,WS_MJ_m3,WS_pct,MT_MJ_m3,MT_pct,MS_MJ_m3,MS_pct,below_threshold_MJ_m3,below_threshold_pct,weak_plane_pct,matrix_pct,tensile_pct,shear_pct,mixed_flag_pct,T_m_MPa,c_m_MPa,phi_m_deg,status,reason
8,Psammitic schist,psammitic_schist,0,Thrust,-0.5,202.05731597789242,0.0,0.0,0.0,0.0,0.0,0.0,162.1071401094291,80.2282952858612,39.95017586846331,19.771704714138814,0.0,80.2282952858612,0.0,80.2282952858612,0.0,9.57,11.94,28.09,computed,
8,Psammitic schist,psammitic_schist,0,Strike-Slip,0.0,202.05731597789242,0.0,0.0,0.0,0.0,0.0,0.0,163.90926367643587,81.12018259926288,38.14805230145658,18.879817400737153,0.0,81.12018259926288,0.0,81.12018259926288,0.0,9.57,11.94,28.09,computed,
8,Psammitic schist,psammitic_schist,0,Extensional,0.5,202.05731597789242,0.0,0.0,0.0,0.0,0.0,0.0,166.2197024871167,82.26363974136092,35.83761349077572,17.736360258639092,0.0,82.26363974136092,0.0,82.26363974136092,0.0,9.57,11.94,28.09,computed,
9,Psammitic schist,psammitic_schist,15,Thrust,-0.5,173.6614138725271,0.0,0.0,1.3585900076404307,0.7823211716090703,0.0,0.0,126.85331452865256,73.04634443536597,45.449509336234115,26.171334393024964,0.7823211716090703,73.04634443536597,0.0,73.82866560697504,0.6650172333598309,8.436666666666666,11.61,28.36,computed,
9,Psammitic schist,psammitic_schist,15,Strike-Slip,0.0,173.6614138725271,0.0,0.0,1.6595764280200458,0.9556391319249691,0.0,0.0,130.04428092328928,74.88380868460845,41.95755652121778,24.16055218346658,0.9556391319249691,74.88380868460845,0.0,75.83944781653342,0.6994463327721834,8.436666666666666,11.61,28.36,computed,
9,Psammitic schist,psammitic_schist,15,Extensional,0.5,173.6614138725271,0.0,0.0,1.7981237424815328,1.0354192692461963,0.0,0.0,132.90903096782978,76.5334267434844,38.95425916221579,22.431153987269408,1.0354192692461963,76.5334267434844,0.0,77.56884601273059,0.7627252574867237,8.436666666666666,11.61,28.36,computed,
10,Psammitic schist,psammitic_schist,30,Thrust,-0.5,191.75570119893905,0.0,0.0,18.265221668401978,9.52525612234732,0.0,0.0,151.5362301788251,79.02567132625286,21.95424935171195,11.449072551399802,9.52525612234732,79.02567132625286,0.0,88.55092744860018,5.650174360872563,8.106666666666667,9.08,23.780000000000005,computed,
10,Psammitic schist,psammitic_schist,30,Strike-Slip,0.0,191.75570119893905,0.0,0.0,18.317473302633964,9.552505186602145,0.0,0.0,152.9490357050771,79.76244500099554,20.48919219122798,10.685049812402315,9.552505186602145,79.76244500099554,0.0,89.31495018759769,5.736940655720098,8.106666666666667,9.08,23.780000000000005,computed,
10,Psammitic schist,psammitic_schist,30,Extensional,0.5,191.75570119893905,0.0,0.0,18.460545788107723,9.627117041467063,0.0,0.0,154.2904820694779,80.46200509543523,19.004673341353417,9.910877863097697,9.627117041467063,80.46200509543523,0.0,90.08912213690229,5.731452178804583,8.106666666666667,9.08,23.780000000000005,computed,
11,Psammitic schist,psammitic_schist,45,Thrust,-0.5,149.10320048149748,0.0,0.0,39.52098388420799,26.505791798286875,0.0,0.0,89.51259424311769,60.03398582596186,20.069622354171806,13.460222375751275,26.505791798286875,60.03398582596186,0.0,86.53977762424873,6.019965068053763,6.859999999999999,8.29,24.24,computed,
11,Psammitic schist,psammitic_schist,45,Strike-Slip,0.0,149.10320048149748,0.0,0.0,39.816730746968005,26.704142244021746,0.0,0.0,90.82455861905095,60.91388939053763,18.46191111547852,12.381968365440619,26.704142244021746,60.91388939053763,0.0,87.61803163455937,6.137424989190423,6.859999999999999,8.29,24.24,computed,
11,Psammitic schist,psammitic_schist,45,Extensional,0.5,149.10320048149748,0.0,0.0,39.912726027240794,26.768524014475226,0.0,0.0,92.1269731881825,61.78738812492139,17.063501266074184,11.444087860603387,26.768524014475226,61.78738812492139,0.0,88.55591213939661,6.03382939630099,6.859999999999999,8.29,24.24,computed,
12,Psammitic schist,psammitic_schist,60,Thrust,-0.5,104.40980599421245,0.0,0.0,31.056653957465535,29.744958973668663,0.0,0.0,34.986899439146626,33.509208360262626,38.36625259760029,36.745832666068715,29.744958973668663,33.509208360262626,0.0,63.25416733393129,6.521401224433282,5.8999999999999995,9.24,27.81,computed,
12,Psammitic schist,psammitic_schist,60,Strike-Slip,0.0,104.40980599421245,0.33569157343320016,0.32151345387214675,31.354093618954813,30.02983610628757,1.0767114599745216,1.0312359550157626,37.73398662953174,36.1402708014067,33.90932271231817,32.47714368341782,30.351349560159715,37.17150675642246,1.3527494088879093,66.17010690769428,10.864842678818075,5.8999999999999995,9.24,27.81,computed,
12,Psammitic schist,psammitic_schist,60,Extensional,0.5,104.40980599421245,2.3398436325571934,2.2410190405744967,31.27077017215629,29.950031871421793,7.431911673959794,7.1180207674859135,34.81352192647607,33.343153542882575,28.553758589063097,27.347774777635216,32.19105091199629,40.46117431036849,9.35903980806041,63.29318541430437,15.117577559301676,5.8999999999999995,9.24,27.81,computed,
13,Psammitic schist,psammitic_schist,75,Thrust,-0.5,36.6799864033695,3.732319896373912,10.175357905888028,0.0,0.0,0.0,0.0,0.0,0.0,32.94766650699559,89.82464209411198,10.175357905888028,0.0,10.175357905888028,0.0,0.0,3.7175,12.15,31.46,computed,
13,Psammitic schist,psammitic_schist,75,Strike-Slip,0.0,36.6799864033695,6.194239336149182,16.887245453232136,0.0,0.0,0.0,0.0,0.0,0.0,30.485747067220323,83.11275454676789,16.887245453232136,0.0,16.887245453232136,0.0,0.0,3.7175,12.15,31.46,computed,
13,Psammitic schist,psammitic_schist,75,Extensional,0.5,36.6799864033695,7.934323552595604,21.631206362352252,0.0,0.0,1.2191923632048556,3.323862636690776,0.0,0.0,27.526470487569043,75.04493100095698,21.631206362352252,3.323862636690776,24.95506899904303,0.0,0.1721869898802423,3.7175,12.15,31.46,computed,
14,Psammitic schist,psammitic_schist,90,Thrust,-0.5,60.511584469668406,11.786354557676972,19.47784818555679,0.0,0.0,0.0,0.0,0.0,0.0,48.725229911991434,80.52215181444322,19.47784818555679,0.0,19.47784818555679,0.0,0.0,5.003333333333334,12.52,30.320000000000004,computed,
14,Psammitic schist,psammitic_schist,90,Strike-Slip,0.0,60.511584469668406,13.795514217123925,22.798137477360164,0.0,0.0,0.0,0.0,0.0,0.0,46.71607025254448,77.20186252263984,22.798137477360164,0.0,22.798137477360164,0.0,0.0,5.003333333333334,12.52,30.320000000000004,computed,
14,Psammitic schist,psammitic_schist,90,Extensional,0.5,60.511584469668406,15.526519215147722,25.65875501562917,0.306941623258959,0.5072443994799283,0.0,0.0,0.0,0.0,44.67812363126173,73.8340005848909,26.1659994151091,0.0,25.65875501562917,0.5072443994799283,0.0,5.003333333333334,12.52,30.320000000000004,computed,
