sample,angle_deg,WT,WS,MT,MS,none,n_points,failed_point_fraction
8,0,0.0035854788108161946,0.02569593147751606,0.0009959663363378318,0.7618644489816244,0.2078581743937055,20081,0.7921418256062945
9,15,0.0030874956426472787,0.0337632588018525,0.0036850754444499776,0.6581843533688562,0.3012798167421941,20081,0.6987201832578059
10,30,0.003983865345351327,0.06732732433643743,0.002290722573577013,0.7198346695881679,0.2065634181564663,20081,0.7934365818435337
11,45,0.0037846720780837606,0.0935212389821224,0.0012947562372391814,0.6285045565459887,0.27289477615656593,20081,0.7271052238434341
12,60,0.005179024948956726,0.1545241770828146,0.012449579204222898,0.36034062048702753,0.4675065982769782,20081,0.5324934017230217
13,75,0.025197948309347143,0.06090334146705841,0.02380359543847418,0.0325680991982471,0.8575270155868732,20081,0.14247298441312684
14,90,0.07185897116677456,0.047806384144215924,0.020317713261291767,0.17648523479906378,0.683531696628654,20081,0.31646830337134607
