sample_id,rock,angle_deg,spacing_m,failed_fraction,delta_failure_pct
1,Augen gneiss,0.0,0.0,0.33719726764645,0.0
1,Augen gneiss,0.0,0.001,0.3402332160353274,0.3035948388877385
1,Augen gneiss,0.0,0.002,0.34823707996964054,1.1039812323190512
1,Augen gneiss,0.0,0.003,0.34823707996964054,1.1039812323190512
1,Augen gneiss,0.0,0.004,0.34768508935348097,1.0487821707030942
2,Augen gneiss,15.0,0.0,0.3690747257296626,0.0
2,Augen gneiss,15.0,0.001,0.3961222659214793,2.704754019181671
2,Augen gneiss,15.0,0.002,0.39405230111088113,2.497757538121853
2,Augen gneiss,15.0,0.003,0.3990202166563168,2.9945490926654217
2,Augen gneiss,15.0,0.004,0.3966742565376389,2.759953080797628
3,Augen gneiss,30.0,0.0,0.502242461878148,0.0
3,Augen gneiss,30.0,0.001,0.5582695094183399,5.602704754019183
3,Augen gneiss,30.0,0.002,0.557027530531981,5.4785068653832925
3,Augen gneiss,30.0,0.003,0.5613054578072173,5.906299592906928
3,Augen gneiss,30.0,0.004,0.5590974953425791,5.68550334644311
4,Augen gneiss,45.0,0.0,0.4304836817774098,0.0
4,Augen gneiss,45.0,0.001,0.5084523563099427,7.796867453253286
4,Augen gneiss,45.0,0.002,0.5083143586559028,7.783067687849298
4,Augen gneiss,45.0,0.003,0.506934382115504,7.64507003380942
4,Augen gneiss,45.0,0.004,0.5106603187745808,8.017663699717104
5,Augen gneiss,60.0,0.0,0.39888221900227694,0.0
5,Augen gneiss,60.0,0.001,0.462775132822742,6.389291382046508
5,Augen gneiss,60.0,0.002,0.46263713516870214,6.37549161664252
5,Augen gneiss,60.0,0.003,0.46249913751466226,6.3616918512385325
5,Augen gneiss,60.0,0.004,0.46263713516870214,6.37549161664252
6,Augen gneiss,75.0,0.0,0.0,0.0
6,Augen gneiss,75.0,0.001,0.13296073966742566,13.296073966742567
6,Augen gneiss,75.0,0.002,0.13240874905126612,13.240874905126612
6,Augen gneiss,75.0,0.003,0.1311667701649072,13.11667701649072
6,Augen gneiss,75.0,0.004,0.12937280066238874,12.937280066238873
7,Augen gneiss,90.0,0.0,0.0,0.0
7,Augen gneiss,90.0,0.001,0.17353204995515076,17.353204995515075
7,Augen gneiss,90.0,0.002,0.16014627751328228,16.014627751328227
7,Augen gneiss,90.0,0.003,0.16911612502587456,16.911612502587456
7,Augen gneiss,90.0,0.004,0.17146208514455255,17.146208514455257
8,Psammitic schist,0.0,0.0,0.3830124887876906,0.0
8,Psammitic schist,0.0,0.001,0.38632443248464776,0.33119436969571425
8,Psammitic schist,0.0,0.002,0.3957082729593597,1.2695784171669056
8,Psammitic schist,0.0,0.003,0.3926723245704823,0.965983578279167
8,Psammitic schist,0.0,0.004,0.3937763058028014,1.0763817015110755
9,Psammitic schist,15.0,0.0,0.3632788242599876,0.0
9,Psammitic schist,15.0,0.001,0.39101635272200375,2.773752846201616
9,Psammitic schist,15.0,0.002,0.38991237148968466,2.663354722969707
9,Psammitic schist,15.0,0.003,0.3921203339543228,2.884150969433519
9,Psammitic schist,15.0,0.004,0.39294831987856205,2.966949561857446
10,Psammitic schist,30.0,0.0,0.5595114883046988,0.0
10,Psammitic schist,30.0,0.001,0.6148485475746912,5.533705926999244
10,Psammitic schist,30.0,0.002,0.6140205616504519,5.450907334575317
10,Psammitic schist,30.0,0.003,0.6169185123852895,5.740702408059073
10,Psammitic schist,30.0,0.004,0.6169185123852895,5.740702408059073
11,Psammitic schist,45.0,0.0,0.5599254812668185,0.0
11,Psammitic schist,45.0,0.001,0.626716345822121,6.679086455530248
11,Psammitic schist,45.0,0.002,0.626716345822121,6.679086455530248
11,Psammitic schist,45.0,0.003,0.6286483129786794,6.872283171186089
11,Psammitic schist,45.0,0.004,0.6247843786655627,6.485889739874418
12,Psammitic schist,60.0,0.0,0.3254674670530601,0.0
12,Psammitic schist,60.0,0.001,0.4015041744290347,7.603670737597456
12,Psammitic schist,60.0,0.002,0.402332160353274,7.6864693300213895
12,Psammitic schist,60.0,0.003,0.4019181673911543,7.64507003380942
12,Psammitic schist,60.0,0.004,0.4035741392396329,7.81066721865728
13,Psammitic schist,75.0,0.0,0.0,0.0
13,Psammitic schist,75.0,0.001,0.11281308217760298,11.281308217760298
13,Psammitic schist,75.0,0.002,0.11295107983164286,11.295107983164286
13,Psammitic schist,75.0,0.003,0.11170910094528393,11.170910094528393
13,Psammitic schist,75.0,0.004,0.11060511971296488,11.060511971296489
14,Psammitic schist,90.0,0.0,0.0,0.0
14,Psammitic schist,90.0,0.001,0.1635962188642793,16.35962188642793
14,Psammitic schist,90.0,0.002,0.1435865590284965,14.358655902849652
14,Psammitic schist,90.0,0.003,0.15904229628096322,15.904229628096322
14,Psammitic schist,90.0,0.004,0.1664941695991168,16.64941695991168
