band,n_profiles,mean_CV,mean_reversal_fraction,n_monotonic,mean_shear_fraction
low (0-30 deg),6,3.634048362852166,0.45240698781195277,0,0.7108903336359198
intermediate (45-60 deg),4,3.4318070628993778,0.46033835527866823,0,0.707987377176412
high (75-90 deg),4,2.34078040659494,0.32482365708084643,0,0.8333333333333334
