Sample,Rock,Angle_deg,alpha_rad,D_m,t_m,E1_MPa,E2_MPa,G12_MPa,Anisotropy_Ratio,b_contact_m,p_peak_mpa,w_comp,Combined_min_MPa,Combined_max_MPa,Combined_mean_MPa
1,Augen gneiss,0.0,0.0,0.051000000000000004,0.0242,36870.0,18100.14727540501,14630.0,2.037,0.0003352667064088638,301.18729225342634,0.0020917217166981357,-0.63,81.66940016117563,0.4078520789528368
2,Augen gneiss,15.0,0.2617993877991496,0.051000000000000004,0.0232,45826.0,22496.80903289151,18494.0,2.037,0.0003137522997062944,317.93530276730183,0.0019815352196390084,-0.6300000000000001,84.78562701308726,0.4271748122704775
3,Augen gneiss,30.0,0.5235987755982987,0.051000000000000004,0.0232,37750.0,18532.155130093273,15100.0,2.037,0.0003520386051780583,345.8428066667567,0.0018216368473063206,-0.63,82.45429013305869,0.4106180130644279
4,Augen gneiss,45.0,0.7853981633974483,0.051000000000000004,0.022,41650.0,20446.735395189004,16782.5,2.037,0.00036846113504001486,427.1307207027075,0.0014749582960540413,-0.5667677069583087,88.56888158494415,0.44303212038304124
5,Augen gneiss,60.0,1.0471975511965974,0.051000000000000004,0.021333333333333333,44030.0,21615.12027491409,18190.0,2.037,0.0004181756878038263,563.6866905784866,0.0011176421415120853,-0.5722478270064858,104.52135020979699,0.5341883922279161
6,Augen gneiss,75.0,1.3089969389957474,0.051000000000000004,0.023875,43250.0,21232.204221894943,16760.0,2.037,0.0003702081655070805,433.3933624836252,0.001453644782166693,-0.63,76.49937974949796,0.40742322388385793
7,Augen gneiss,90.0,1.5707963267948966,0.051000000000000004,0.02025,51850.0,25454.099165439373,21430.0,2.037,0.00034421993958773346,439.6130906552337,0.0014330783440979857,-0.63,84.24731683592576,0.43957390477406794
